date,open,high,low,close,volume,barCount,average
20210208  10:00:00,68.1,72.3,65.16,69.69,254,143,69.558
20210208  10:15:00,69.15,70.78,69.0,69.5,90,54,69.601
20210208  10:30:00,69.8,69.88,68.68,68.75,64,35,69.305
20210208  10:45:00,68.75,69.58,68.5,69.0,28,15,69.057
20210208  11:00:00,69.2,69.5,69.2,69.5,29,16,69.334
20210208  11:15:00,69.8,70.59,69.8,70.15,45,28,70.211
20210208  11:30:00,70.34,72.0,70.0,70.0,108,56,70.892
20210208  11:45:00,70.32,72.4,70.32,71.0,106,61,71.454
20210208  12:00:00,70.94,75.8,70.94,74.49,236,135,73.853
20210208  12:15:00,75.0,75.5,71.88,73.2,75,53,73.551
20210208  12:30:00,72.81,73.27,72.0,72.0,63,34,72.548
20210208  12:45:00,71.97,72.58,70.3,71.45,218,68,71.651
20210208  13:00:00,70.5,72.99,69.69,70.88,1800,889,71.495
20210208  13:15:00,70.93,71.65,70.0,70.0,637,282,70.909
20210208  13:30:00,70.0,70.6,68.9,69.6,480,196,69.693
20210208  13:45:00,69.51,69.89,68.62,69.48,429,124,69.229
20210208  14:00:00,69.39,73.0,67.11,68.0,1783,542,69.857
20210208  14:15:00,68.22,68.7,67.0,68.05,777,291,67.58
20210208  14:30:00,68.07,68.21,67.2,68.1,427,152,67.935
20210208  14:45:00,68.1,69.55,68.1,69.55,638,249,68.953
20210208  15:00:00,69.66,72.9,68.56,70.8,1965,816,70.713
20210208  15:15:00,70.97,73.5,69.12,72.21,1467,625,71.229
20210208  15:30:00,72.41,72.66,63.35,64.27,27952,10393,67.789
20210208  15:45:00,64.03,67.89,63.52,64.65,14671,5879,65.626
20210208  16:00:00,64.61,65.25,60.11,61.34,14612,5810,62.609
20210208  16:15:00,61.06,61.64,58.27,61.17,18795,7015,59.926
20210208  16:30:00,61.03,63.0,59.26,60.91,8757,3321,61.161
20210208  16:45:00,60.91,63.5,60.51,60.75,8326,3013,61.943
20210208  17:00:00,60.75,61.41,59.52,60.07,4099,1612,60.628
20210208  17:15:00,60.16,60.75,59.52,60.0,4400,1562,60.178
20210208  17:30:00,60.08,60.15,58.02,59.2,7881,2853,59.008
20210208  17:45:00,59.2,60.31,58.86,59.65,4091,1662,59.632
20210208  18:00:00,59.63,59.84,58.82,59.42,2893,1163,59.18
20210208  18:15:00,59.44,59.75,58.68,58.95,2849,1175,59.16
20210208  18:30:00,59.11,60.75,58.73,59.38,6117,2473,59.61
20210208  18:45:00,59.39,60.3,59.2,60.15,3253,1206,59.616
20210208  19:00:00,60.15,62.35,59.57,61.72,6349,2478,60.775
20210208  19:15:00,61.7,61.95,59.56,59.66,4556,1712,60.437
20210208  19:30:00,59.8,60.25,59.71,60.02,2006,873,60.036
20210208  19:45:00,59.95,60.38,59.25,59.66,2571,1077,59.722
20210208  20:00:00,59.68,59.76,58.6,58.77,3826,1488,58.992
20210208  20:15:00,58.63,59.21,58.3,59.2,3154,1199,58.643
20210208  20:30:00,59.09,59.49,58.9,59.34,2395,1001,59.151
20210208  20:45:00,59.22,59.47,58.71,58.8,2324,903,59.166
20210208  21:00:00,58.88,59.25,58.6,58.83,2890,1033,58.935
20210208  21:15:00,58.84,58.99,58.6,58.73,3604,1271,58.779
20210208  21:30:00,58.7,58.89,58.22,58.58,3893,1645,58.554
20210208  21:45:00,58.54,60.5,58.46,59.96,8408,3578,59.63
20210208  22:00:00,60.0,60.0,58.56,59.11,913,151,59.751
20210208  22:15:00,59.11,59.49,59.05,59.43,86,39,59.232
20210208  22:30:00,59.37,59.45,59.35,59.44,84,35,59.394
20210208  22:45:00,59.47,59.8,59.42,59.59,168,68,59.65
20210208  23:00:00,59.5,59.64,59.4,59.4,91,46,59.503
20210208  23:15:00,59.4,59.65,59.35,59.6,80,34,59.507
20210208  23:30:00,59.7,59.7,59.5,59.55,59,27,59.596
20210208  23:45:00,59.5,59.7,59.5,59.6,79,34,59.601
