date,open,high,low,close,volume,barCount,average
20210209  10:00:00,59.8,61.0,57.1,57.1,132,47,58.695
20210209  10:15:00,57.3,57.6,56.3,57.0,69,30,57.025
20210209  10:30:00,57.0,57.1,56.2,56.2,40,20,56.531
20210209  10:45:00,56.21,57.0,56.21,57.0,12,9,56.723
20210209  11:00:00,56.55,56.7,56.5,56.7,34,10,56.596
20210209  11:15:00,56.8,56.86,56.5,56.5,44,14,56.536
20210209  11:30:00,56.7,56.87,56.7,56.87,4,3,56.756
20210209  11:45:00,57.05,57.09,56.85,57.0,10,8,56.99
20210209  12:00:00,56.77,56.77,55.08,55.1,87,34,55.946
20210209  12:15:00,55.1,55.72,55.0,55.49,36,22,55.152
20210209  12:30:00,55.3,55.8,55.2,55.75,10,8,55.543
20210209  12:45:00,55.31,56.8,55.31,56.8,40,11,56.454
20210209  13:00:00,56.8,57.5,56.0,56.85,256,125,56.818
20210209  13:15:00,56.68,56.78,56.0,56.15,132,66,56.236
20210209  13:30:00,56.3,56.59,56.2,56.2,76,29,56.399
20210209  13:45:00,56.2,56.2,55.5,55.5,157,72,55.762
20210209  14:00:00,56.67,57.51,55.13,55.61,893,245,55.946
20210209  14:15:00,55.69,56.0,55.69,55.95,165,89,55.85
20210209  14:30:00,55.98,56.99,55.98,56.99,328,133,56.42
20210209  14:45:00,56.9,56.99,56.25,56.7,155,83,56.652
20210209  15:00:00,56.7,58.05,56.4,57.76,572,224,57.076
20210209  15:15:00,57.81,57.88,55.8,55.93,538,210,56.676
20210209  15:30:00,56.61,57.0,52.1,52.55,19119,7452,53.784
20210209  15:45:00,52.39,54.5,52.06,53.63,9439,3678,53.302
20210209  16:00:00,53.6,53.68,51.78,52.02,8768,3806,52.614
20210209  16:15:00,52.02,52.05,50.31,50.66,14886,6043,50.887
20210209  16:30:00,50.67,51.43,50.0,50.01,8337,3393,50.725
20210209  16:45:00,50.01,50.04,48.12,49.05,19044,7423,49.013
20210209  17:00:00,49.19,49.2,46.88,47.3,15656,5776,47.802
20210209  17:15:00,47.33,48.62,46.52,48.57,12798,4544,47.302
20210209  17:30:00,48.51,49.55,47.2,49.33,10941,3832,48.442
20210209  17:45:00,49.26,49.4,48.2,48.54,6858,2624,48.806
20210209  18:00:00,48.54,50.44,48.45,50.3,8555,2677,49.819
20210209  18:15:00,50.21,50.76,49.74,50.07,5650,1917,50.119
20210209  18:30:00,50.06,50.19,48.5,49.37,4953,1846,49.438
20210209  18:45:00,49.34,50.18,48.6,48.74,4456,1848,49.452
20210209  19:00:00,48.61,49.39,48.6,48.78,3312,1253,48.993
20210209  19:15:00,48.77,48.78,48.0,48.5,4471,1788,48.438
20210209  19:30:00,48.61,48.83,48.25,48.69,2316,761,48.476
20210209  19:45:00,48.69,48.87,48.22,48.87,2537,1106,48.641
20210209  20:00:00,48.87,49.2,48.6,49.1,2682,1240,48.948
20210209  20:15:00,49.09,49.63,49.0,49.3,2566,1162,49.302
20210209  20:30:00,49.3,50.1,49.2,49.45,3607,1290,49.737
20210209  20:45:00,49.49,51.5,49.25,50.88,4782,1621,50.452
20210209  21:00:00,50.95,50.95,50.01,50.06,3009,1167,50.373
20210209  21:15:00,50.07,50.87,49.21,49.63,4279,1618,50.096
20210209  21:30:00,49.64,49.94,48.73,49.07,3632,1395,49.283
20210209  21:45:00,48.95,50.35,48.75,50.32,6715,2880,49.591
20210209  22:00:00,50.48,51.85,49.36,51.41,1669,396,50.872
20210209  22:15:00,51.4,56.2,51.35,55.06,3926,1450,54.161
20210209  22:30:00,55.06,55.19,51.0,52.9,1539,518,53.511
20210209  22:45:00,52.9,53.28,51.8,52.0,768,242,52.253
20210209  23:00:00,52.0,52.4,51.51,51.71,387,135,51.992
20210209  23:15:00,51.72,52.55,51.72,52.4,369,110,52.284
20210209  23:30:00,52.2,52.2,51.2,51.52,201,84,51.78
20210209  23:45:00,51.58,51.85,51.25,51.45,248,70,51.59
