date,open,high,low,close,volume,barCount,average
20210119  10:00:00,39.0,42.61,38.31,41.05,410,174,41.456
20210119  10:15:00,41.37,41.5,40.0,40.01,91,51,40.994
20210119  10:30:00,40.01,41.0,40.0,41.0,148,52,40.468
20210119  10:45:00,41.0,41.0,40.9,40.9,48,20,40.992
20210119  11:00:00,40.77,40.83,40.42,40.42,43,19,40.553
20210119  11:15:00,40.62,41.5,40.62,41.2,118,36,40.999
20210119  11:30:00,41.3,41.4,41.09,41.09,30,21,41.297
20210119  11:45:00,41.02,41.5,40.77,41.25,60,29,41.285
20210119  12:00:00,41.1,41.1,40.5,40.5,75,21,40.729
20210119  12:15:00,40.75,40.75,40.31,40.31,46,22,40.576
20210119  12:30:00,40.33,40.54,40.33,40.4,77,27,40.442
20210119  12:45:00,40.41,40.51,40.33,40.34,74,47,40.386
20210119  13:00:00,40.5,40.99,37.18,37.18,2802,861,39.103
20210119  13:15:00,37.18,39.01,37.1,38.59,1295,506,37.864
20210119  13:30:00,38.61,39.01,38.32,38.5,551,251,38.765
20210119  13:45:00,38.5,38.5,38.07,38.38,555,213,38.304
20210119  14:00:00,38.38,40.61,37.2,40.06,2740,912,39.435
20210119  14:15:00,40.14,40.3,39.62,39.75,820,337,39.935
20210119  14:30:00,39.76,40.7,39.76,39.85,1320,484,40.241
20210119  14:45:00,39.81,41.24,39.6,40.88,1846,733,40.553
20210119  15:00:00,40.85,42.88,40.8,42.4,4681,1853,41.867
20210119  15:15:00,42.39,42.64,41.21,41.75,2700,1092,41.744
20210119  15:30:00,41.65,44.61,39.25,44.34,67228,21250,41.705
20210119  15:45:00,44.27,45.52,40.22,40.74,92609,32035,43.542
20210119  16:00:00,40.75,40.76,37.5,39.38,97461,32750,39.051
20210119  16:15:00,39.38,39.39,36.64,37.61,40054,12029,37.846
20210119  16:30:00,37.65,38.5,36.75,37.16,28257,8654,37.72
20210119  16:45:00,37.18,38.75,37.18,37.76,31210,8906,38.261
20210119  17:00:00,37.79,39.48,37.73,39.22,25789,7393,38.804
20210119  17:15:00,39.22,39.3,38.02,38.48,16803,5207,38.642
20210119  17:30:00,38.49,38.54,38.0,38.26,9959,2974,38.276
20210119  17:45:00,38.28,39.69,38.21,39.62,15310,4505,38.837
20210119  18:00:00,39.63,41.67,39.4,41.41,39549,9812,40.647
20210119  18:15:00,41.35,41.4,40.29,40.98,20282,5464,40.771
20210119  18:30:00,40.98,41.79,40.7,41.37,21747,5918,41.266
20210119  18:45:00,41.37,42.3,41.0,42.12,17630,4270,41.633
20210119  19:00:00,42.03,42.2,41.37,41.65,14632,3920,41.822
20210119  19:15:00,41.63,41.73,40.29,40.97,15260,4291,40.856
20210119  19:30:00,40.97,41.34,40.53,40.69,10010,2909,40.908
20210119  19:45:00,40.69,41.25,40.66,40.94,7682,2356,40.972
20210119  20:00:00,40.94,40.99,40.01,40.13,8151,2788,40.509
20210119  20:15:00,40.14,40.3,39.66,39.89,8201,2718,40.013
20210119  20:30:00,39.9,40.16,39.6,39.99,5853,1778,39.942
20210119  20:45:00,39.98,40.68,39.96,40.28,8654,2668,40.341
20210119  21:00:00,40.26,40.5,39.7,40.41,8600,2522,40.18
20210119  21:15:00,40.42,40.53,39.6,39.88,7083,1997,39.998
20210119  21:30:00,39.86,39.99,38.61,39.1,14629,4796,39.234
20210119  21:45:00,39.09,39.74,39.07,39.51,19282,5075,39.5
20210119  22:00:00,39.36,39.71,39.1,39.3,2885,128,39.39
20210119  22:15:00,39.11,39.2,38.83,39.04,228,80,39.01
20210119  22:30:00,38.89,38.94,38.51,38.6,381,111,38.673
20210119  22:45:00,38.65,38.84,38.61,38.84,126,49,38.703
20210119  23:00:00,38.84,38.84,38.65,38.7,153,44,38.734
20210119  23:15:00,38.8,38.95,38.7,38.95,77,19,38.864
20210119  23:30:00,38.86,38.96,38.75,38.9,154,32,38.88
20210119  23:45:00,38.85,38.9,38.8,38.89,43,22,38.86
