date,open,high,low,close,volume,barCount,average
20210414  10:00:00,142.76,144.5,142.76,144.03,7,5,143.753
20210414  10:15:00,144.5,144.5,144.5,144.5,1,1,144.5
20210414  10:30:00,144.35,144.35,144.35,144.35,1,1,144.35
20210414  10:45:00,144.35,144.35,144.35,144.35,0,0,144.35
20210414  11:00:00,145.0,145.0,144.9,145.0,6,3,144.985
20210414  11:15:00,145.25,145.5,145.24,145.24,12,7,145.306
20210414  11:30:00,145.5,145.5,145.0,145.0,7,6,145.229
20210414  11:45:00,145.25,147.01,145.25,147.0,26,18,145.924
20210414  12:00:00,146.97,149.0,146.97,148.0,40,15,148.564
20210414  12:15:00,148.5,148.5,148.5,148.5,2,1,148.5
20210414  12:30:00,148.5,148.5,148.5,148.5,0,0,148.5
20210414  12:45:00,148.48,148.48,145.5,145.5,8,7,146.553
20210414  13:00:00,145.2,147.0,144.99,145.0,64,25,145.715
20210414  13:15:00,145.0,145.99,145.0,145.75,19,9,145.597
20210414  13:30:00,145.5,145.91,144.57,144.57,8,7,145.241
20210414  13:45:00,144.25,145.0,144.2,144.7,16,10,144.492
20210414  14:00:00,145.3,146.89,144.09,145.95,187,76,145.518
20210414  14:15:00,145.78,145.94,145.75,145.94,23,14,145.853
20210414  14:30:00,145.77,146.89,145.77,146.4,115,41,146.418
20210414  14:45:00,146.34,146.5,145.25,145.25,152,49,145.951
20210414  15:00:00,145.07,145.93,144.03,145.55,230,108,144.664
20210414  15:15:00,145.82,145.82,143.56,144.21,351,147,144.623
20210414  15:30:00,144.28,156.41,143.0,150.32,12205,6013,150.836
20210414  15:45:00,150.33,150.76,147.11,149.19,3673,1999,148.863
20210414  16:00:00,149.1,149.3,144.68,145.59,3278,1691,146.638
20210414  16:15:00,145.79,147.11,144.35,146.6,2314,1245,145.856
20210414  16:30:00,146.43,156.1,146.23,154.52,5746,2948,151.726
20210414  16:45:00,154.52,158.68,151.33,157.13,7775,3949,154.311
20210414  17:00:00,157.45,165.65,156.4,165.3,15761,7990,161.789
20210414  17:15:00,165.44,173.21,160.18,172.34,15943,7846,166.991
20210414  17:30:00,172.2,174.09,165.32,165.95,12803,6214,169.329
20210414  17:45:00,165.71,169.6,165.01,167.71,6883,3054,167.463
20210414  18:00:00,167.5,167.73,162.82,164.17,5036,2174,164.798
20210414  18:15:00,164.13,169.67,163.82,167.51,5841,2697,167.657
20210414  18:30:00,167.57,168.4,165.0,165.5,3291,1262,166.785
20210414  18:45:00,165.55,166.22,162.59,164.63,3488,1592,164.153
20210414  19:00:00,164.82,167.1,163.2,166.46,3928,1746,165.38
20210414  19:15:00,166.58,170.0,166.03,166.25,6043,2765,168.01
20210414  19:30:00,166.5,166.78,163.01,163.1,2406,1147,164.897
20210414  19:45:00,163.14,164.63,158.33,158.33,3243,1533,161.462
20210414  20:00:00,158.33,160.77,156.87,158.49,3406,1469,158.736
20210414  20:15:00,158.49,161.63,157.54,161.41,2771,1284,160.048
20210414  20:30:00,161.39,161.74,158.2,160.19,1817,729,160.428
20210414  20:45:00,160.23,162.0,158.75,159.85,2053,770,160.556
20210414  21:00:00,159.5,160.25,158.2,159.25,1143,486,159.157
20210414  21:15:00,159.44,161.77,158.67,160.09,1532,744,160.619
20210414  21:30:00,160.6,167.3,160.2,165.14,6153,2774,164.832
20210414  21:45:00,165.09,167.84,165.08,167.0,4457,2202,166.582
20210414  22:00:00,167.0,167.0,164.0,165.0,567,99,166.06
20210414  22:15:00,165.08,166.0,165.03,165.03,62,25,165.36
20210414  22:30:00,165.1,165.4,164.7,164.8,25,15,165.02
20210414  22:45:00,164.65,164.9,164.5,164.9,33,14,164.707
20210414  23:00:00,165.0,165.0,163.21,163.95,114,43,163.903
20210414  23:15:00,163.99,164.55,163.99,164.53,25,13,164.18
20210414  23:30:00,164.09,164.71,163.5,163.51,34,18,164.086
20210414  23:45:00,163.23,164.45,163.23,164.0,8,5,163.741
