date,open,high,low,close,volume,barCount,average
20201210  10:00:00,13.7,13.7,13.52,13.52,4,2,13.556
20201210  10:15:00,13.55,13.55,13.55,13.55,1,1,13.55
20201210  10:30:00,13.56,13.56,13.55,13.55,14,6,13.554
20201210  10:45:00,13.6,13.6,13.6,13.6,1,1,13.6
20201210  11:00:00,13.6,13.6,13.6,13.6,0,0,13.6
20201210  11:15:00,13.54,13.54,13.54,13.54,1,1,13.54
20201210  11:30:00,13.59,13.59,13.59,13.59,1,1,13.59
20201210  11:45:00,13.54,13.54,13.54,13.54,5,2,13.54
20201210  12:00:00,13.54,13.54,13.54,13.54,0,0,13.54
20201210  12:15:00,13.54,13.54,13.54,13.54,0,0,13.54
20201210  12:30:00,13.54,13.54,13.54,13.54,0,0,13.54
20201210  12:45:00,13.55,13.55,13.55,13.55,1,1,13.55
20201210  13:00:00,13.75,13.76,13.61,13.62,105,15,13.744
20201210  13:15:00,13.62,13.62,13.52,13.54,23,13,13.58
20201210  13:30:00,13.58,13.58,13.3,13.3,58,26,13.469
20201210  13:45:00,13.3,13.35,13.22,13.24,49,21,13.272
20201210  14:00:00,13.3,13.75,13.12,13.17,575,98,13.261
20201210  14:15:00,13.23,13.25,13.17,13.2,92,23,13.211
20201210  14:30:00,13.35,13.35,13.16,13.21,72,16,13.227
20201210  14:45:00,13.24,13.24,13.11,13.11,227,55,13.145
20201210  15:00:00,13.12,13.2,13.0,13.0,507,239,13.059
20201210  15:15:00,13.01,13.15,13.0,13.15,458,137,13.012
20201210  15:30:00,13.12,13.46,13.05,13.36,9254,2740,13.273
20201210  15:45:00,13.37,13.9,13.37,13.86,5102,1743,13.708
20201210  16:00:00,13.87,14.1,13.83,13.9,5295,1560,13.979
20201210  16:15:00,13.89,14.03,13.86,13.88,2151,775,13.942
20201210  16:30:00,13.88,14.06,13.83,14.01,1904,733,13.971
20201210  16:45:00,14.01,14.03,13.85,13.87,1711,697,13.943
20201210  17:00:00,13.86,13.87,13.71,13.87,3857,1086,13.766
20201210  17:15:00,13.87,13.87,13.61,13.75,2261,904,13.745
20201210  17:30:00,13.75,13.8,13.68,13.77,1036,492,13.726
20201210  17:45:00,13.78,13.82,13.7,13.71,1155,527,13.765
20201210  18:00:00,13.7,13.76,13.6,13.73,1643,656,13.687
20201210  18:15:00,13.73,13.75,13.7,13.71,488,229,13.715
20201210  18:30:00,13.71,13.88,13.7,13.88,779,367,13.797
20201210  18:45:00,13.88,13.9,13.82,13.9,594,259,13.858
20201210  19:00:00,13.9,13.95,13.88,13.91,952,431,13.925
20201210  19:15:00,13.91,13.95,13.9,13.93,896,467,13.936
20201210  19:30:00,13.94,13.95,13.91,13.93,973,505,13.933
20201210  19:45:00,13.93,13.95,13.85,13.95,1287,779,13.917
20201210  20:00:00,13.95,13.95,13.9,13.93,803,327,13.933
20201210  20:15:00,13.93,13.94,13.87,13.94,1078,428,13.912
20201210  20:30:00,13.93,14.23,13.93,14.23,3542,821,14.032
20201210  20:45:00,14.23,14.37,14.21,14.23,3557,1241,14.292
20201210  21:00:00,14.24,14.41,14.23,14.35,2841,1041,14.364
20201210  21:15:00,14.35,14.38,14.22,14.22,2333,1093,14.289
20201210  21:30:00,14.23,14.25,14.1,14.15,3511,1563,14.182
20201210  21:45:00,14.15,14.18,14.06,14.12,5224,2523,14.113
20201210  22:00:00,14.12,14.24,14.12,14.15,914,19,14.125
20201210  22:15:00,14.18,14.2,14.15,14.15,39,12,14.171
20201210  22:30:00,14.15,14.15,14.02,14.02,25,4,14.144
20201210  22:45:00,14.13,14.13,14.12,14.13,5,4,14.13
20201210  23:00:00,14.05,14.13,14.05,14.13,6,5,14.117
20201210  23:15:00,14.1,14.1,14.01,14.01,38,18,14.05
20201210  23:30:00,14.01,14.12,14.01,14.01,13,7,14.034
20201210  23:45:00,14.05,14.12,13.9,14.12,41,18,14.019
