date,open,high,low,close,volume,barCount,average
20210413  10:00:00,141.7,141.7,140.0,140.0,7,7,140.85
20210413  10:15:00,139.0,139.0,139.0,139.0,1,1,139.0
20210413  10:30:00,139.5,139.5,139.25,139.25,4,3,139.356
20210413  10:45:00,139.25,139.25,139.25,139.25,0,0,139.25
20210413  11:00:00,139.25,139.25,139.25,139.25,0,0,139.25
20210413  11:15:00,140.0,140.0,140.0,140.0,1,1,140.0
20210413  11:30:00,139.25,139.25,139.25,139.25,1,1,139.25
20210413  11:45:00,139.89,140.0,139.89,139.97,15,5,139.918
20210413  12:00:00,140.25,140.45,139.27,139.27,12,7,139.98
20210413  12:15:00,139.7,139.7,139.7,139.7,4,1,139.7
20210413  12:30:00,139.98,140.0,139.98,140.0,4,3,139.994
20210413  12:45:00,140.0,140.0,140.0,140.0,0,0,140.0
20210413  13:00:00,139.95,141.2,139.95,140.28,76,25,140.708
20210413  13:15:00,140.8,141.14,140.51,141.0,53,17,141.003
20210413  13:30:00,141.98,144.0,141.98,143.5,36,17,142.765
20210413  13:45:00,143.01,143.4,142.01,143.4,41,18,142.559
20210413  14:00:00,140.8,144.0,140.5,141.69,230,69,142.205
20210413  14:15:00,141.69,143.0,141.69,142.0,73,32,142.268
20210413  14:30:00,142.0,142.25,142.0,142.0,23,9,142.106
20210413  14:45:00,142.29,142.49,142.0,142.0,24,13,142.256
20210413  15:00:00,142.25,142.98,141.09,142.35,103,44,141.966
20210413  15:15:00,141.8,142.26,141.8,142.2,51,27,142.109
20210413  15:30:00,141.88,142.2,134.4,135.95,5138,2525,138.06
20210413  15:45:00,135.42,136.96,132.0,135.26,5711,2861,134.501
20210413  16:00:00,135.49,138.87,135.0,138.37,3314,1671,136.908
20210413  16:15:00,138.2,145.38,138.2,141.91,6953,3504,142.298
20210413  16:30:00,141.91,142.42,139.73,141.82,3021,1473,141.13
20210413  16:45:00,141.87,142.04,140.55,141.05,1081,576,141.272
20210413  17:00:00,141.15,143.86,141.0,141.42,2030,1087,142.43
20210413  17:15:00,141.41,141.83,138.32,139.85,1513,758,140.103
20210413  17:30:00,139.99,140.4,138.1,138.23,755,441,138.991
20210413  17:45:00,138.1,138.67,137.99,138.59,765,408,138.185
20210413  18:00:00,138.71,140.3,138.31,138.91,681,372,139.443
20210413  18:15:00,138.92,139.82,138.5,138.84,438,246,139.135
20210413  18:30:00,138.69,138.85,138.0,138.08,359,198,138.224
20210413  18:45:00,138.0,139.54,138.0,139.07,593,355,138.922
20210413  19:00:00,139.05,140.2,138.78,138.86,663,340,139.446
20210413  19:15:00,138.84,139.3,138.21,139.3,354,221,138.655
20210413  19:30:00,139.3,141.5,139.05,140.31,1278,629,140.454
20210413  19:45:00,140.51,141.34,139.75,140.84,585,300,140.68
20210413  20:00:00,140.99,142.0,139.85,140.3,898,479,140.871
20210413  20:15:00,140.4,141.04,140.0,140.72,482,286,140.53
20210413  20:30:00,140.59,141.51,140.13,140.48,484,251,140.914
20210413  20:45:00,140.3,140.86,138.5,139.76,868,471,139.69
20210413  21:00:00,140.0,140.91,139.55,139.99,599,304,140.211
20210413  21:15:00,139.98,141.8,139.88,141.02,740,430,140.969
20210413  21:30:00,141.03,141.1,139.65,140.67,931,587,140.324
20210413  21:45:00,140.75,141.56,139.8,140.72,1983,1129,140.826
20210413  22:00:00,140.99,145.0,140.51,142.3,550,133,141.958
20210413  22:15:00,142.25,142.49,141.51,141.51,76,33,141.945
20210413  22:30:00,142.26,142.5,141.65,142.45,87,23,142.164
20210413  22:45:00,142.45,142.45,141.5,141.8,124,31,142.078
20210413  23:00:00,142.0,142.1,141.5,141.95,54,17,141.792
20210413  23:15:00,141.5,142.5,140.99,141.5,212,79,141.831
20210413  23:30:00,141.5,142.0,140.61,141.9,144,63,141.311
20210413  23:45:00,141.02,142.0,141.02,142.0,118,49,141.676
