date,open,high,low,close,volume,barCount,average
20201208  10:00:00,16.38,16.38,16.38,16.38,3,1,16.38
20201208  10:15:00,16.38,16.38,16.38,16.38,3,2,16.38
20201208  10:30:00,16.38,16.38,16.38,16.38,0,0,16.38
20201208  10:45:00,16.5,16.5,16.5,16.5,2,1,16.5
20201208  11:00:00,16.59,16.6,16.59,16.6,8,3,16.592
20201208  11:15:00,16.6,16.6,16.6,16.6,0,0,16.6
20201208  11:30:00,16.6,16.6,16.6,16.6,0,0,16.6
20201208  11:45:00,16.6,16.6,16.6,16.6,0,0,16.6
20201208  12:00:00,16.6,16.6,16.5,16.5,10,4,16.517
20201208  12:15:00,16.34,16.34,16.3,16.3,12,3,16.312
20201208  12:30:00,16.35,16.35,16.35,16.35,2,1,16.35
20201208  12:45:00,16.34,16.34,16.34,16.34,1,1,16.34
20201208  13:00:00,16.39,16.49,16.39,16.49,7,4,16.433
20201208  13:15:00,16.44,16.44,16.44,16.44,2,2,16.44
20201208  13:30:00,16.4,16.45,16.4,16.43,13,7,16.428
20201208  13:45:00,16.44,16.45,16.42,16.45,16,5,16.444
20201208  14:00:00,16.45,16.55,16.34,16.35,179,44,16.464
20201208  14:15:00,16.55,16.55,16.44,16.45,42,14,16.492
20201208  14:30:00,16.39,16.5,16.37,16.5,130,21,16.463
20201208  14:45:00,16.55,16.55,16.45,16.45,53,12,16.534
20201208  15:00:00,16.38,16.55,16.38,16.5,114,41,16.517
20201208  15:15:00,16.54,16.54,16.38,16.38,305,48,16.507
20201208  15:30:00,16.37,16.6,16.14,16.31,6493,1777,16.417
20201208  15:45:00,16.3,16.32,15.93,16.08,3639,1464,16.129
20201208  16:00:00,16.08,16.24,16.0,16.14,2760,1168,16.092
20201208  16:15:00,16.14,16.36,16.12,16.34,1902,716,16.238
20201208  16:30:00,16.32,16.61,16.27,16.6,2503,788,16.475
20201208  16:45:00,16.59,16.59,16.32,16.38,2004,802,16.455
20201208  17:00:00,16.38,16.38,16.21,16.26,1092,540,16.269
20201208  17:15:00,16.26,16.3,16.15,16.18,1244,564,16.215
20201208  17:30:00,16.18,16.29,16.13,16.26,1905,694,16.221
20201208  17:45:00,16.27,16.39,16.18,16.22,2098,871,16.304
20201208  18:00:00,16.22,16.23,16.14,16.23,1355,634,16.18
20201208  18:15:00,16.24,16.31,16.21,16.3,1244,604,16.254
20201208  18:30:00,16.3,16.39,16.26,16.27,2268,822,16.336
20201208  18:45:00,16.27,16.28,16.13,16.23,2033,621,16.202
20201208  19:00:00,16.22,16.29,16.22,16.25,1153,388,16.248
20201208  19:15:00,16.25,16.36,16.24,16.3,1057,520,16.298
20201208  19:30:00,16.31,16.39,16.29,16.37,1819,543,16.346
20201208  19:45:00,16.37,16.43,16.32,16.41,1667,804,16.383
20201208  20:00:00,16.41,16.52,16.38,16.44,2029,774,16.458
20201208  20:15:00,16.44,16.54,16.34,16.51,3672,1119,16.442
20201208  20:30:00,16.5,16.53,16.31,16.37,2441,835,16.399
20201208  20:45:00,16.36,16.37,16.07,16.12,5705,2011,16.181
20201208  21:00:00,16.12,16.37,16.1,16.37,3875,1709,16.23
20201208  21:15:00,16.36,16.45,16.29,16.41,4294,1600,16.367
20201208  21:30:00,16.4,16.74,16.39,16.73,6325,2403,16.553
20201208  21:45:00,16.74,17.21,16.7,16.92,18029,6063,16.977
20201208  22:00:00,16.94,18.3,15.3,15.46,19412,5517,16.508
20201208  22:15:00,15.48,16.3,15.16,15.34,11518,3256,15.612
20201208  22:30:00,15.34,15.65,14.81,15.1,9389,2866,15.11
20201208  22:45:00,15.06,15.12,14.71,14.85,4974,1635,14.878
20201208  23:00:00,14.84,15.0,14.71,14.73,3635,1068,14.857
20201208  23:15:00,14.73,14.9,14.72,14.85,1638,457,14.845
20201208  23:30:00,14.85,14.98,14.78,14.85,1178,252,14.857
20201208  23:45:00,14.86,14.86,14.64,14.65,1374,328,14.758
