date,open,high,low,close,volume,barCount,average
20210409  10:00:00,174.99,174.99,174.0,174.0,8,4,174.331
20210409  10:15:00,171.61,173.9,171.61,173.9,9,5,173.519
20210409  10:30:00,173.77,173.77,173.5,173.5,3,2,173.623
20210409  10:45:00,173.5,173.5,173.5,173.5,0,0,173.5
20210409  11:00:00,173.8,173.8,173.8,173.8,3,2,173.8
20210409  11:15:00,173.8,173.8,173.8,173.8,0,0,173.8
20210409  11:30:00,171.43,172.0,171.43,172.0,2,2,171.715
20210409  11:45:00,172.0,172.0,172.0,172.0,0,0,172.0
20210409  12:00:00,173.64,173.8,173.64,173.8,5,3,173.745
20210409  12:15:00,173.8,173.8,173.8,173.8,0,0,173.8
20210409  12:30:00,173.8,173.8,173.8,173.8,0,0,173.8
20210409  12:45:00,173.8,173.8,173.8,173.8,0,0,173.8
20210409  13:00:00,173.64,173.64,171.99,172.02,21,12,172.453
20210409  13:15:00,172.0,172.0,172.0,172.0,5,3,172.0
20210409  13:30:00,172.0,172.0,172.0,172.0,0,0,172.0
20210409  13:45:00,172.23,172.25,172.0,172.0,24,9,172.03
20210409  14:00:00,172.16,173.5,170.97,171.15,95,33,172.188
20210409  14:15:00,170.96,171.0,168.79,169.01,100,46,169.626
20210409  14:30:00,169.26,170.28,169.0,170.25,38,19,169.756
20210409  14:45:00,170.9,171.0,169.5,169.5,49,25,170.344
20210409  15:00:00,169.77,170.6,169.11,170.5,67,40,170.083
20210409  15:15:00,170.8,170.8,169.11,169.79,93,43,169.791
20210409  15:30:00,169.7,171.14,167.01,168.0,3094,1522,169.1
20210409  15:45:00,167.77,168.8,166.19,167.9,2287,1132,167.452
20210409  16:00:00,168.0,171.58,167.72,170.3,2251,1276,170.124
20210409  16:15:00,170.25,170.43,168.14,168.14,1127,579,169.589
20210409  16:30:00,168.16,169.12,166.7,167.85,1600,729,167.802
20210409  16:45:00,167.5,168.33,166.03,166.03,1147,570,167.265
20210409  17:00:00,166.01,166.88,164.82,165.97,1646,843,165.722
20210409  17:15:00,165.99,165.99,164.1,165.19,1788,846,164.884
20210409  17:30:00,165.26,166.36,164.57,166.33,2016,879,165.214
20210409  17:45:00,166.3,166.4,164.61,165.14,1176,528,165.51
20210409  18:00:00,165.06,165.34,162.27,162.79,1178,615,163.663
20210409  18:15:00,162.96,163.5,161.22,162.38,2606,1329,162.382
20210409  18:30:00,162.28,162.85,158.73,160.15,3499,1667,160.358
20210409  18:45:00,160.23,161.56,159.22,160.75,1948,1077,160.336
20210409  19:00:00,160.63,160.63,157.05,157.69,2819,1250,158.319
20210409  19:15:00,157.94,159.17,155.6,159.12,2970,1344,157.25
20210409  19:30:00,159.03,160.35,156.51,156.51,2554,1323,158.278
20210409  19:45:00,156.75,156.75,153.0,153.51,3894,1751,154.543
20210409  20:00:00,153.84,156.69,153.15,156.62,3424,1563,154.619
20210409  20:15:00,156.59,159.35,155.5,159.2,3908,2042,157.405
20210409  20:30:00,159.11,159.35,156.22,159.27,3500,1639,157.992
20210409  20:45:00,159.29,160.3,157.57,158.47,2408,1182,159.106
20210409  21:00:00,158.37,158.74,156.0,156.17,1851,898,157.126
20210409  21:15:00,156.21,159.2,156.21,158.21,2211,1035,157.89
20210409  21:30:00,158.39,158.6,157.7,157.8,1609,745,157.981
20210409  21:45:00,157.8,159.44,157.75,158.32,4444,1765,158.32
20210409  22:00:00,158.36,158.36,157.06,157.06,469,55,158.268
20210409  22:15:00,157.01,157.5,156.0,157.5,54,30,156.746
20210409  22:30:00,157.5,157.5,157.0,157.32,26,8,157.331
20210409  22:45:00,157.3,157.6,155.0,156.05,80,31,156.256
20210409  23:00:00,155.9,157.0,155.56,157.0,22,15,155.97
20210409  23:15:00,156.8,157.49,156.15,156.75,17,14,156.914
20210409  23:30:00,156.34,156.95,156.22,156.95,33,12,156.368
20210409  23:45:00,156.31,156.95,156.23,156.5,37,16,156.468
20210410  00:00:00,156.35,156.95,156.35,156.65,8,5,156.573
20210410  00:15:00,156.93,156.93,156.93,156.93,1,1,156.93
20210410  00:30:00,156.8,156.88,156.7,156.88,4,3,156.795
20210410  00:45:00,156.92,156.92,156.89,156.9,16,8,156.9
20210410  01:00:00,156.73,156.9,156.73,156.9,13,7,156.854
20210410  01:15:00,156.9,156.9,156.75,156.77,11,5,156.807
20210410  01:30:00,156.88,156.9,156.81,156.9,10,6,156.867
20210410  01:45:00,156.95,157.25,156.95,157.0,42,23,157.084
