date,open,high,low,close,volume,barCount,average
20210302  10:00:00,117.25,117.25,112.0,115.4,87,50,113.658
20210302  10:15:00,115.0,115.0,114.0,114.0,16,11,114.323
20210302  10:30:00,114.55,115.46,114.55,115.46,17,8,115.029
20210302  10:45:00,115.46,115.7,114.0,115.7,12,10,114.709
20210302  11:00:00,115.8,115.8,115.0,115.0,9,8,115.611
20210302  11:15:00,115.38,115.38,114.87,115.3,7,6,115.156
20210302  11:30:00,115.5,117.0,115.11,115.16,13,10,116.242
20210302  11:45:00,115.52,115.52,115.52,115.52,1,1,115.52
20210302  12:00:00,116.36,116.5,116.36,116.36,5,4,116.397
20210302  12:15:00,116.36,116.88,116.36,116.88,10,3,116.507
20210302  12:30:00,116.36,116.79,116.0,116.79,4,4,116.448
20210302  12:45:00,116.56,116.56,116.5,116.5,4,2,116.548
20210302  13:00:00,116.78,119.0,116.5,118.42,110,57,118.235
20210302  13:15:00,118.0,118.09,116.7,117.0,88,46,117.298
20210302  13:30:00,116.82,118.23,116.8,117.98,140,45,117.843
20210302  13:45:00,117.98,118.0,117.0,117.25,58,24,117.47
20210302  14:00:00,116.56,119.0,115.2,116.26,380,170,117.024
20210302  14:15:00,116.5,117.0,115.53,117.0,199,84,116.141
20210302  14:30:00,116.91,117.8,116.9,116.91,123,71,117.297
20210302  14:45:00,116.92,117.49,116.5,117.35,177,64,116.855
20210302  15:00:00,117.34,118.4,117.16,117.89,234,118,117.861
20210302  15:15:00,117.71,118.0,116.01,117.09,457,200,116.833
20210302  15:30:00,116.93,126.49,112.2,124.18,21715,9118,121.052
20210302  15:45:00,124.28,126.89,119.07,119.45,14567,6397,123.44
20210302  16:00:00,119.69,124.06,117.76,121.83,8894,4282,121.051
20210302  16:15:00,121.89,129.5,121.34,127.39,12800,5635,125.626
20210302  16:30:00,127.53,130.0,124.0,125.92,14974,6829,127.132
20210302  16:45:00,125.79,132.19,125.27,130.53,17185,7368,129.458
20210302  17:00:00,130.83,132.4,125.53,127.8,13819,5979,128.242
20210302  17:15:00,127.59,129.01,123.68,126.0,8185,3596,126.017
20210302  17:30:00,125.97,126.11,121.5,124.4,7703,3443,123.357
20210302  17:45:00,124.41,127.4,123.51,124.58,7297,3225,125.386
20210302  18:00:00,124.67,128.04,124.29,126.52,6459,2499,126.584
20210302  18:15:00,126.78,128.17,124.3,125.86,5680,2185,126.06
20210302  18:30:00,125.8,127.58,125.01,126.75,4043,1767,126.628
20210302  18:45:00,126.7,130.91,126.05,129.02,8632,3467,128.586
20210302  19:00:00,129.18,133.2,127.2,129.84,11607,4807,130.565
20210302  19:15:00,129.74,130.94,127.2,127.85,7591,3244,129.148
20210302  19:30:00,127.96,128.55,123.5,123.5,6710,3071,126.346
20210302  19:45:00,123.55,124.89,120.69,123.7,10738,4487,122.991
20210302  20:00:00,123.35,124.5,116.3,121.0,12366,5022,119.872
20210302  20:15:00,120.92,123.84,119.26,122.34,6554,2603,121.832
20210302  20:30:00,122.3,123.5,120.08,120.1,4606,1894,122.305
20210302  20:45:00,120.68,122.55,119.3,121.65,4060,1703,121.44
20210302  21:00:00,121.7,123.5,121.07,121.75,4607,1873,122.346
20210302  21:15:00,121.51,121.57,116.74,118.94,6455,3168,119.004
20210302  21:30:00,119.12,120.8,114.32,115.8,6904,3233,117.1
20210302  21:45:00,115.88,118.49,115.66,118.1,5630,3004,117.5
20210302  22:00:00,118.18,120.0,115.56,116.23,1054,323,117.423
20210302  22:15:00,116.4,117.34,115.25,115.51,513,212,116.06
20210302  22:30:00,115.83,116.47,114.09,116.0,381,174,115.283
20210302  22:45:00,116.0,117.1,115.22,117.05,282,76,116.141
20210302  23:00:00,117.1,117.25,116.33,116.33,98,54,116.925
20210302  23:15:00,116.99,117.33,116.2,117.0,96,40,116.764
20210302  23:30:00,117.01,118.0,116.62,118.0,88,40,117.275
20210302  23:45:00,117.9,119.0,117.82,118.5,145,69,118.397
