date,open,high,low,close,volume,barCount,average
20210126  10:00:00,90.0,100.0,90.0,94.35,894,521,96.178
20210126  10:15:00,94.0,95.99,93.22,93.94,311,198,94.301
20210126  10:30:00,94.1,96.0,93.66,95.37,208,137,95.205
20210126  10:45:00,95.4,95.4,93.74,94.0,84,49,94.408
20210126  11:00:00,94.25,94.25,90.0,91.5,248,132,91.655
20210126  11:15:00,91.11,91.3,86.03,87.35,229,99,89.64
20210126  11:30:00,87.75,90.0,87.55,89.11,128,59,89.362
20210126  11:45:00,89.25,90.67,88.55,88.55,153,35,89.978
20210126  12:00:00,89.0,90.0,89.0,90.0,29,14,89.681
20210126  12:15:00,90.0,90.0,87.5,87.7,193,52,88.908
20210126  12:30:00,89.2,91.0,89.0,89.0,52,27,89.634
20210126  12:45:00,89.3,89.3,88.0,88.5,89,48,88.843
20210126  13:00:00,88.89,90.01,86.39,88.5,1457,657,88.39
20210126  13:15:00,88.76,93.84,88.5,93.47,2648,1009,91.233
20210126  13:30:00,93.38,94.39,91.22,92.51,1468,711,93.225
20210126  13:45:00,92.62,92.97,91.22,91.51,809,338,92.248
20210126  14:00:00,91.62,94.39,86.15,90.0,2814,1078,90.891
20210126  14:15:00,89.99,90.55,86.5,89.3,1612,675,88.437
20210126  14:30:00,89.3,90.0,87.77,88.31,1663,358,88.501
20210126  14:45:00,88.31,89.51,88.03,89.25,1042,392,88.959
20210126  15:00:00,89.0,89.5,81.05,85.92,3704,1848,84.744
20210126  15:15:00,86.0,89.0,84.6,88.53,3501,1988,87.549
20210126  15:30:00,88.56,101.62,85.45,85.45,71803,28092,94.088
20210126  15:45:00,86.95,95.0,85.41,87.57,47254,19944,89.889
20210126  16:00:00,87.58,91.5,86.01,87.02,24846,10607,88.815
20210126  16:15:00,87.27,87.38,81.11,82.6,33265,14024,83.91
20210126  16:30:00,82.38,94.0,80.2,88.0,53081,20547,89.164
20210126  16:45:00,87.61,91.88,86.38,87.61,25970,11065,89.238
20210126  17:00:00,87.62,90.68,82.69,84.0,20502,8451,88.02
20210126  17:15:00,83.0,88.88,81.0,87.43,17983,7625,85.904
20210126  17:30:00,87.42,89.5,86.3,88.28,10774,4448,88.091
20210126  17:45:00,88.01,88.79,85.54,87.8,10265,4401,87.365
20210126  18:00:00,87.69,90.67,87.68,89.23,17299,6808,89.544
20210126  18:15:00,89.12,93.0,88.47,92.52,21168,7549,91.467
20210126  18:30:00,92.51,98.99,92.43,98.53,53068,19160,95.911
20210126  18:45:00,98.68,114.24,98.51,105.56,77404,32424,105.703
20210126  19:00:00,105.31,107.49,96.99,102.62,59202,26691,101.961
20210126  19:15:00,102.77,113.8,101.45,112.01,59545,24278,108.139
20210126  19:30:00,112.23,124.58,106.0,117.45,94960,36241,115.486
20210126  19:45:00,117.38,117.57,106.74,114.55,54197,23672,113.054
20210126  20:00:00,114.25,118.62,112.0,118.44,41161,17234,114.962
20210126  20:15:00,118.3,125.0,113.21,122.19,74860,33458,120.884
20210126  20:30:00,122.37,132.99,118.0,132.24,62687,28170,125.779
20210126  20:45:00,132.24,143.89,117.2,131.84,86599,38513,133.464
20210126  21:00:00,131.69,145.0,127.0,144.87,84596,37126,137.666
20210126  21:15:00,144.72,149.25,140.0,148.39,77170,33234,146.234
20210126  21:30:00,148.31,150.0,132.31,147.99,48121,20131,146.359
20210126  21:45:00,147.77,149.7,139.0,145.97,65559,31622,146.732
20210126  22:00:00,146.2,167.69,138.0,165.11,10837,4466,151.761
20210126  22:15:00,165.06,194.5,147.98,184.29,21700,10712,178.262
20210126  22:30:00,184.99,244.0,180.01,201.0,28217,14881,207.534
20210126  22:45:00,202.55,234.49,200.59,224.45,20764,10108,220.618
20210126  23:00:00,224.6,248.9,222.0,225.0,12688,6934,235.738
20210126  23:15:00,224.25,225.0,206.33,217.0,9075,4871,216.462
20210126  23:30:00,217.27,222.84,212.0,212.26,3975,1831,217.735
20210126  23:45:00,212.5,214.89,203.0,208.14,3600,1657,209.481
