date,open,high,low,close,volume,barCount,average
20210324  09:00:00,161.11,161.11,150.0,159.0,96,58,154.579
20210324  09:15:00,158.3,165.3,158.05,161.0,30,24,162.653
20210324  09:30:00,162.27,165.71,162.0,163.0,31,24,163.804
20210324  09:45:00,163.0,165.06,163.0,163.4,38,26,164.079
20210324  10:00:00,162.8,162.8,159.89,162.48,29,12,160.845
20210324  10:15:00,161.79,162.5,161.67,162.5,10,7,161.978
20210324  10:30:00,160.12,160.12,160.0,160.0,3,3,160.04
20210324  10:45:00,160.0,160.0,160.0,160.0,0,0,160.0
20210324  11:00:00,159.13,159.13,157.75,158.0,15,7,158.243
20210324  11:15:00,158.0,158.0,154.05,158.0,79,37,155.425
20210324  11:30:00,157.5,158.94,157.28,158.0,20,10,158.249
20210324  11:45:00,158.0,158.0,154.5,158.0,45,17,156.61
20210324  12:00:00,157.86,162.87,157.86,162.68,208,98,159.738
20210324  12:15:00,162.75,163.5,157.8,159.0,155,81,160.714
20210324  12:30:00,159.25,159.83,155.41,156.51,199,84,157.403
20210324  12:45:00,157.0,157.25,153.1,156.01,179,105,154.904
20210324  13:00:00,158.52,163.01,153.5,156.2,498,182,157.661
20210324  13:15:00,156.56,158.9,155.35,155.51,152,94,157.238
20210324  13:30:00,155.99,157.48,155.25,156.8,224,110,156.218
20210324  13:45:00,156.5,159.76,154.59,159.76,323,171,156.963
20210324  14:00:00,159.77,163.63,158.0,161.85,857,455,161.204
20210324  14:15:00,161.06,163.0,156.17,157.0,844,483,159.488
20210324  14:30:00,157.98,166.97,151.0,153.17,16151,8251,158.66
20210324  14:45:00,153.16,153.19,145.0,148.45,14761,7435,148.572
20210324  15:00:00,148.53,154.84,148.01,150.21,7017,3734,152.076
20210324  15:15:00,150.18,151.26,145.01,145.69,5439,2896,148.091
20210324  15:30:00,145.66,150.67,143.85,147.08,5857,2864,147.437
20210324  15:45:00,147.0,148.99,145.1,145.31,2873,1477,146.696
20210324  16:00:00,145.35,146.13,141.27,142.98,7915,3722,143.089
20210324  16:15:00,143.19,146.66,142.0,145.98,4205,1957,144.153
20210324  16:30:00,145.81,147.27,143.98,145.28,1813,943,145.621
20210324  16:45:00,145.36,146.95,144.14,146.87,1934,877,145.79
20210324  17:00:00,146.95,151.71,146.7,149.45,4474,2216,149.274
20210324  17:15:00,149.44,156.8,148.78,152.7,5281,2694,153.051
20210324  17:30:00,152.5,153.35,150.51,150.53,1683,886,151.658
20210324  17:45:00,150.51,150.52,147.17,147.75,2139,1192,148.617
20210324  18:00:00,147.97,149.15,147.37,147.59,1237,723,148.244
20210324  18:15:00,147.59,147.59,144.15,144.89,2473,1333,145.752
20210324  18:30:00,144.88,146.0,143.27,144.0,1993,1033,144.978
20210324  18:45:00,144.27,147.29,144.0,146.25,1664,814,145.962
20210324  19:00:00,146.17,147.79,145.0,146.88,1276,720,146.257
20210324  19:15:00,146.77,147.65,143.4,144.03,1442,757,145.919
20210324  19:30:00,143.98,144.16,141.0,141.73,3058,1462,142.123
20210324  19:45:00,141.53,141.54,133.36,135.0,10059,4100,136.896
20210324  20:00:00,135.01,136.69,132.0,132.81,5204,2282,133.952
20210324  20:15:00,132.8,132.89,125.66,128.01,10246,4442,128.653
20210324  20:30:00,128.23,128.48,121.4,123.41,11566,4865,124.247
20210324  20:45:00,123.53,124.7,118.62,120.34,11706,5318,121.29
20210324  21:00:00,120.34,121.3,116.03,119.5,1720,632,118.864
20210324  21:15:00,119.5,119.61,114.69,114.98,862,417,116.721
20210324  21:30:00,114.65,116.65,112.83,116.15,1183,467,114.42
20210324  21:45:00,116.04,118.0,114.52,117.8,504,217,116.365
20210324  22:00:00,117.75,119.48,117.11,119.44,555,169,118.207
20210324  22:15:00,119.48,123.7,119.4,123.12,1359,502,121.138
20210324  22:30:00,123.5,128.56,122.8,128.01,1280,564,125.599
20210324  22:45:00,128.01,133.0,125.12,132.0,2393,1005,128.886
20210324  23:00:00,132.0,133.67,129.1,130.53,809,448,131.244
20210324  23:15:00,131.19,134.0,129.1,129.17,652,316,131.862
20210324  23:30:00,129.33,132.0,128.01,129.0,451,204,129.491
20210324  23:45:00,128.53,135.63,128.53,133.9,807,345,133.521
