date,open,high,low,close,volume,barCount,average
20210526  10:00:00,216.94,217.0,215.49,216.5,34,19,216.335
20210526  10:15:00,215.68,215.68,215.22,215.22,16,6,215.334
20210526  10:30:00,216.0,216.0,215.99,215.99,4,3,215.996
20210526  10:45:00,216.0,217.8,216.0,217.8,14,9,216.711
20210526  11:00:00,218.4,219.47,218.0,219.3,62,29,218.937
20210526  11:15:00,217.2,217.2,217.0,217.0,21,4,217.095
20210526  11:30:00,217.53,217.53,217.53,217.53,1,1,217.53
20210526  11:45:00,218.0,218.98,218.0,218.98,12,7,218.793
20210526  12:00:00,219.2,219.44,219.2,219.3,66,37,219.32
20210526  12:15:00,219.2,219.2,218.1,218.16,31,12,218.39
20210526  12:30:00,218.6,219.12,218.6,218.92,6,4,218.786
20210526  12:45:00,218.8,219.0,218.8,218.81,4,4,218.854
20210526  13:00:00,218.94,222.38,218.4,219.5,773,316,220.235
20210526  13:15:00,219.25,219.98,217.99,218.84,151,106,219.065
20210526  13:30:00,218.54,220.3,218.0,220.3,149,81,218.945
20210526  13:45:00,220.35,224.94,220.25,223.5,838,367,223.121
20210526  14:00:00,220.8,229.0,217.66,227.7,1255,606,225.371
20210526  14:15:00,227.6,227.88,225.32,226.0,702,336,226.24
20210526  14:30:00,226.19,235.1,226.05,234.39,1236,634,231.366
20210526  14:45:00,234.39,235.32,231.72,232.0,1054,498,233.069
20210526  15:00:00,231.7,237.79,231.7,233.63,1404,735,234.846
20210526  15:15:00,233.73,234.54,228.51,228.81,1291,594,232.069
20210526  15:30:00,228.95,243.57,225.55,235.88,23736,13262,234.358
20210526  15:45:00,235.74,235.77,225.59,232.45,11272,6010,230.935
20210526  16:00:00,232.38,237.69,230.11,233.23,8277,4298,233.453
20210526  16:15:00,233.24,245.0,230.51,242.03,10436,5154,238.473
20210526  16:30:00,241.95,243.5,236.48,237.59,6447,3397,239.302
20210526  16:45:00,237.58,240.69,234.5,239.06,4457,2386,237.552
20210526  17:00:00,238.98,242.49,236.5,240.64,3343,1874,239.803
20210526  17:15:00,240.87,247.81,240.0,244.63,6177,3108,244.835
20210526  17:30:00,244.59,247.0,238.8,241.84,4471,2265,241.573
20210526  17:45:00,242.03,248.48,242.03,244.12,5358,2733,245.224
20210526  18:00:00,244.08,245.5,242.5,243.49,2356,1351,244.155
20210526  18:15:00,243.33,243.7,240.57,240.65,2110,1251,242.156
20210526  18:30:00,240.58,241.05,233.3,233.95,4914,2371,236.85
20210526  18:45:00,233.83,236.87,231.0,232.36,4791,2221,233.743
20210526  19:00:00,232.98,236.9,232.41,236.67,2598,1305,234.407
20210526  19:15:00,236.4,239.5,235.71,238.45,3002,1368,237.542
20210526  19:30:00,238.52,239.38,236.28,236.43,1405,773,237.974
20210526  19:45:00,236.3,237.89,235.68,236.4,1254,641,236.699
20210526  20:00:00,236.58,242.18,235.85,239.4,2937,1559,239.955
20210526  20:15:00,239.37,240.71,235.27,237.24,2212,1305,238.247
20210526  20:30:00,237.27,238.5,236.14,237.6,1099,654,237.333
20210526  20:45:00,237.73,243.91,237.73,243.26,3857,1775,241.61
20210526  21:00:00,243.05,243.24,237.92,240.38,2369,1288,240.252
20210526  21:15:00,240.75,241.06,238.65,240.4,1412,881,239.707
20210526  21:30:00,240.5,242.55,239.61,240.55,2571,1331,241.391
20210526  21:45:00,240.56,242.42,239.51,242.42,3927,2061,241.266
20210526  22:00:00,242.56,243.75,239.19,241.0,838,182,242.054
20210526  22:15:00,241.0,242.99,240.95,242.99,170,76,241.651
20210526  22:30:00,242.99,245.01,241.5,242.38,384,174,244.188
20210526  22:45:00,242.1,242.2,241.0,241.0,83,24,241.37
20210526  23:00:00,240.7,241.87,240.67,241.5,42,21,241.158
20210526  23:15:00,241.87,241.87,240.88,241.0,66,20,241.104
20210526  23:30:00,240.65,241.3,239.0,239.0,75,34,240.452
20210526  23:45:00,238.4,240.0,238.22,238.74,119,53,238.88
