date,open,high,low,close,volume,barCount,average
20210218  10:00:00,47.0,47.0,46.0,46.0,55,13,46.075
20210218  10:15:00,46.93,46.93,46.93,46.93,2,2,46.93
20210218  10:30:00,46.8,46.8,46.5,46.5,6,4,46.698
20210218  10:45:00,46.5,46.5,46.5,46.5,0,0,46.5
20210218  11:00:00,46.5,46.5,46.5,46.5,0,0,46.5
20210218  11:15:00,46.27,46.27,46.27,46.27,1,1,46.27
20210218  11:30:00,46.03,46.03,46.0,46.0,8,6,46.005
20210218  11:45:00,46.0,46.0,46.0,46.0,3,3,46.0
20210218  12:00:00,46.0,46.0,45.91,46.0,31,8,45.997
20210218  12:15:00,46.0,46.0,46.0,46.0,0,0,46.0
20210218  12:30:00,46.35,46.35,46.35,46.35,1,1,46.35
20210218  12:45:00,46.5,46.8,46.5,46.7,20,12,46.696
20210218  13:00:00,46.51,47.04,46.31,46.36,126,58,46.757
20210218  13:15:00,46.49,46.49,45.9,45.9,44,21,46.103
20210218  13:30:00,45.96,46.0,45.94,45.94,13,9,45.965
20210218  13:45:00,46.0,46.0,45.8,46.0,31,7,45.93
20210218  14:00:00,46.8,47.05,45.7,46.26,283,83,46.302
20210218  14:15:00,46.26,46.74,46.26,46.7,165,49,46.566
20210218  14:30:00,46.7,48.51,46.7,47.25,1167,393,47.721
20210218  14:45:00,47.25,48.28,47.0,48.28,945,338,47.476
20210218  15:00:00,48.29,50.22,47.56,48.84,1812,684,48.933
20210218  15:15:00,48.73,48.73,47.7,48.49,530,206,48.169
20210218  15:30:00,48.49,48.87,46.24,47.09,11742,3778,47.422
20210218  15:45:00,47.03,47.75,46.6,47.21,5220,1893,47.133
20210218  16:00:00,47.02,47.26,46.5,47.14,2227,933,46.913
20210218  16:15:00,47.05,47.11,45.05,45.19,5683,2165,45.744
20210218  16:30:00,45.19,45.81,44.82,44.99,3559,1535,45.183
20210218  16:45:00,44.91,45.11,44.53,44.66,2329,1251,44.865
20210218  17:00:00,44.72,44.8,43.31,43.76,7100,3138,43.979
20210218  17:15:00,43.88,44.14,43.6,43.85,2407,1265,43.818
20210218  17:30:00,43.83,44.5,43.6,44.2,2795,1529,44.075
20210218  17:45:00,44.17,44.39,43.64,43.91,2221,1138,43.952
20210218  18:00:00,43.9,44.75,43.36,43.5,7497,3270,43.971
20210218  18:15:00,43.43,45.0,43.22,44.09,6141,2431,44.114
20210218  18:30:00,44.09,47.79,43.68,46.05,19797,7483,46.091
20210218  18:45:00,46.04,48.65,45.59,46.09,26205,9441,47.197
20210218  19:00:00,46.05,46.15,44.61,44.8,10985,3998,45.19
20210218  19:15:00,44.77,44.95,44.23,44.28,4740,1903,44.585
20210218  19:30:00,44.27,46.0,44.24,45.03,11904,4059,45.333
20210218  19:45:00,45.06,45.25,44.45,44.59,2778,1316,44.719
20210218  20:00:00,44.55,45.15,44.2,44.26,3337,1366,44.682
20210218  20:15:00,44.25,44.33,43.55,43.85,5095,2392,43.893
20210218  20:30:00,43.83,43.98,43.07,43.22,3598,1456,43.603
20210218  20:45:00,43.26,43.36,42.69,43.0,5312,2039,42.949
20210218  21:00:00,43.02,43.04,42.6,42.83,2931,1372,42.751
20210218  21:15:00,42.82,42.86,42.02,42.02,4693,2278,42.389
20210218  21:30:00,42.02,42.2,41.16,41.18,9097,4505,41.641
20210218  21:45:00,41.18,41.34,40.65,40.7,13709,6617,40.942
20210218  22:00:00,40.69,40.99,40.0,40.3,910,223,40.478
20210218  22:15:00,40.45,40.55,40.17,40.17,321,111,40.454
20210218  22:30:00,40.3,40.49,40.17,40.33,288,83,40.321
20210218  22:45:00,40.3,40.98,40.25,40.71,489,98,40.608
20210218  23:00:00,40.71,40.75,40.42,40.6,131,62,40.598
20210218  23:15:00,40.6,40.85,40.6,40.85,78,21,40.758
20210218  23:30:00,40.9,40.96,40.76,40.84,98,35,40.834
20210218  23:45:00,40.84,40.9,40.8,40.86,83,32,40.843
