date,open,high,low,close,volume,barCount,average
20210527  10:00:00,240.12,242.0,238.0,238.0,22,17,239.015
20210527  10:15:00,234.0,235.51,233.1,235.51,16,8,234.4
20210527  10:30:00,235.0,235.0,232.99,232.99,3,3,233.902
20210527  10:45:00,231.37,232.6,231.25,232.6,38,25,231.964
20210527  11:00:00,232.01,232.6,232.01,232.6,8,3,232.08
20210527  11:15:00,232.5,233.99,232.3,233.99,15,7,233.157
20210527  11:30:00,234.3,234.75,234.3,234.3,8,6,234.353
20210527  11:45:00,233.5,233.5,233.0,233.0,19,6,233.052
20210527  12:00:00,233.0,233.0,233.0,233.0,0,0,233.0
20210527  12:15:00,233.0,233.0,233.0,233.0,0,0,233.0
20210527  12:30:00,233.73,233.73,233.73,233.73,1,1,233.73
20210527  12:45:00,234.0,234.9,234.0,234.9,11,4,234.468
20210527  13:00:00,234.6,237.9,234.6,236.0,134,70,236.789
20210527  13:15:00,236.01,237.74,236.01,237.74,60,20,236.759
20210527  13:30:00,237.03,237.03,236.5,236.99,37,22,236.886
20210527  13:45:00,237.7,238.74,237.05,238.0,27,19,238.059
20210527  14:00:00,237.0,238.99,235.0,237.1,108,53,236.922
20210527  14:15:00,236.6,236.6,233.31,235.0,490,151,235.047
20210527  14:30:00,234.87,235.0,233.2,233.5,59,33,233.904
20210527  14:45:00,233.5,234.51,232.01,234.51,89,53,233.123
20210527  15:00:00,234.9,235.0,233.07,233.22,84,58,234.272
20210527  15:15:00,233.17,234.5,230.0,230.0,188,97,232.948
20210527  15:30:00,230.0,237.0,227.0,232.7,7048,3679,231.294
20210527  15:45:00,232.88,242.25,229.0,240.48,5804,3084,236.008
20210527  16:00:00,240.72,249.5,238.6,246.5,9008,4665,245.163
20210527  16:15:00,246.21,250.64,242.63,246.56,7223,3884,246.235
20210527  16:30:00,246.99,248.49,239.12,242.58,4773,2355,244.137
20210527  16:45:00,242.24,244.5,238.25,243.84,3087,1698,240.99
20210527  17:00:00,243.91,245.8,240.43,240.43,2841,1481,243.407
20210527  17:15:00,240.38,241.18,236.55,237.1,2453,1513,238.994
20210527  17:30:00,237.31,237.78,232.84,234.72,2868,1426,235.197
20210527  17:45:00,234.44,236.0,232.71,233.59,1600,896,234.362
20210527  18:00:00,233.51,237.73,232.22,236.31,1900,1052,234.837
20210527  18:15:00,236.14,239.49,236.13,237.77,1489,790,238.065
20210527  18:30:00,237.81,240.0,234.39,238.3,1163,666,236.806
20210527  18:45:00,238.11,241.66,237.01,240.9,2151,1007,239.736
20210527  19:00:00,240.93,243.3,239.7,240.87,1900,1100,241.562
20210527  19:15:00,240.89,242.67,239.68,240.62,1154,657,240.768
20210527  19:30:00,240.62,241.24,238.38,240.04,1805,1046,239.914
20210527  19:45:00,240.18,244.98,238.79,243.12,3756,1929,242.303
20210527  20:00:00,243.03,244.2,237.08,237.73,2792,1595,240.448
20210527  20:15:00,237.46,239.99,236.14,239.71,1648,916,237.878
20210527  20:30:00,239.67,242.27,239.0,241.58,1153,604,240.552
20210527  20:45:00,241.96,244.49,240.53,243.1,2164,1081,242.906
20210527  21:00:00,243.4,244.4,240.55,244.39,1266,700,242.653
20210527  21:15:00,244.4,252.8,244.4,251.71,7267,3323,248.245
20210527  21:30:00,251.98,264.0,251.91,256.27,11293,6110,257.765
20210527  21:45:00,256.36,258.6,251.04,253.79,7342,3902,255.12
20210527  22:00:00,253.71,254.52,251.3,252.17,1603,134,253.976
20210527  22:15:00,252.1,255.98,251.05,254.5,341,133,252.901
20210527  22:30:00,254.65,256.95,253.1,253.99,362,160,255.25
20210527  22:45:00,253.5,254.0,251.0,251.01,97,41,252.71
20210527  23:00:00,251.21,253.5,251.0,252.0,68,30,251.884
20210527  23:15:00,252.55,253.53,252.3,252.75,27,17,252.888
20210527  23:30:00,252.36,252.86,249.0,249.01,173,70,250.958
20210527  23:45:00,249.3,251.4,249.18,250.0,34,16,250.105
