date,open,high,low,close,volume,barCount,average
20210224  10:00:00,44.97,44.97,44.0,44.0,12,2,44.889
20210224  10:15:00,44.0,44.0,44.0,44.0,0,0,44.0
20210224  10:30:00,44.0,44.0,44.0,44.0,2,2,44.0
20210224  10:45:00,44.0,44.0,44.0,44.0,0,0,44.0
20210224  11:00:00,43.76,43.76,43.72,43.72,5,2,43.734
20210224  11:15:00,43.76,44.0,43.76,44.0,3,2,43.821
20210224  11:30:00,43.99,43.99,43.99,43.99,1,1,43.99
20210224  11:45:00,43.99,43.99,43.99,43.99,0,0,43.99
20210224  12:00:00,43.99,43.99,43.99,43.99,1,1,43.99
20210224  12:15:00,43.99,43.99,43.99,43.99,0,0,43.99
20210224  12:30:00,43.99,43.99,43.99,43.99,0,0,43.99
20210224  12:45:00,44.5,44.5,44.01,44.01,5,2,44.108
20210224  13:00:00,44.4,44.69,44.01,44.5,120,41,44.408
20210224  13:15:00,44.4,44.4,44.0,44.38,20,7,44.17
20210224  13:30:00,44.2,44.5,44.11,44.5,37,13,44.411
20210224  13:45:00,44.48,44.48,44.29,44.29,23,10,44.386
20210224  14:00:00,44.42,44.58,44.0,44.05,95,39,44.267
20210224  14:15:00,44.0,44.25,43.98,44.11,80,37,44.089
20210224  14:30:00,44.25,44.85,44.25,44.8,133,58,44.677
20210224  14:45:00,44.8,45.25,44.57,44.75,189,77,44.92
20210224  15:00:00,44.83,45.12,44.0,44.8,137,54,44.76
20210224  15:15:00,44.72,45.25,44.71,44.8,208,106,45.005
20210224  15:30:00,44.7,47.5,44.7,45.8,8855,3386,46.125
20210224  15:45:00,45.8,46.84,45.68,46.6,4777,1786,46.24
20210224  16:00:00,46.6,48.45,46.05,48.24,6192,2275,47.213
20210224  16:15:00,48.26,48.87,47.01,47.48,11349,3517,47.945
20210224  16:30:00,47.59,49.58,47.0,48.7,11778,3538,48.803
20210224  16:45:00,48.78,49.3,47.8,48.79,4620,1661,48.719
20210224  17:00:00,48.72,50.5,48.61,50.43,10187,3021,49.851
20210224  17:15:00,50.47,50.56,47.5,48.07,7767,2800,48.9
20210224  17:30:00,48.05,48.37,47.8,48.28,2524,1137,48.045
20210224  17:45:00,48.22,49.0,48.22,49.0,2885,1162,48.708
20210224  18:00:00,49.0,49.0,48.48,48.74,1687,766,48.795
20210224  18:15:00,48.75,49.0,48.5,48.53,2020,721,48.862
20210224  18:30:00,48.53,48.72,47.82,48.02,1788,760,48.196
20210224  18:45:00,48.0,48.7,47.78,48.3,1685,613,48.237
20210224  19:00:00,48.34,48.6,47.97,48.48,714,371,48.332
20210224  19:15:00,48.46,48.64,48.02,48.5,700,347,48.331
20210224  19:30:00,48.45,49.2,48.25,49.13,1871,753,49.001
20210224  19:45:00,49.1,49.46,49.01,49.45,1889,727,49.193
20210224  20:00:00,49.46,49.5,48.75,48.98,2037,783,49.224
20210224  20:15:00,49.0,49.79,48.85,49.7,1849,763,49.326
20210224  20:30:00,49.73,51.49,49.41,51.48,9306,2582,50.462
20210224  20:45:00,51.47,53.76,50.71,52.41,23763,8506,52.452
20210224  21:00:00,52.42,56.5,52.26,56.2,26313,9227,54.086
20210224  21:15:00,56.36,64.0,56.23,62.34,76769,29473,59.971
20210224  21:30:00,62.34,88.65,62.0,84.28,102375,41351,72.523
20210224  21:45:00,84.45,91.7,83.0,91.7,17740,7626,87.983
20210224  22:00:00,91.71,125.0,81.11,116.99,55896,22387,98.49
20210224  22:15:00,116.9,128.05,105.64,117.79,36444,15521,116.372
20210224  22:30:00,117.69,171.38,115.0,160.0,43195,19798,134.632
20210224  22:45:00,160.01,200.0,150.01,157.01,46559,23189,172.343
20210224  23:00:00,157.0,159.02,135.13,138.79,24011,11705,149.594
20210224  23:15:00,138.5,148.0,130.0,147.98,17288,8157,139.097
20210224  23:30:00,147.98,149.0,131.8,133.26,10950,4591,140.181
20210224  23:45:00,133.16,159.74,132.11,148.62,14502,6391,147.513
