date,open,high,low,close,volume,barCount,average
20210426  10:00:00,152.2,152.2,152.2,152.2,3,1,152.2
20210426  10:15:00,152.22,152.22,152.18,152.18,2,2,152.2
20210426  10:30:00,152.22,152.22,152.22,152.22,1,1,152.22
20210426  10:45:00,152.32,152.7,152.32,152.7,4,3,152.429
20210426  11:00:00,153.25,153.25,153.11,153.11,4,4,153.19
20210426  11:15:00,153.01,153.01,153.01,153.01,2,1,153.01
20210426  11:30:00,153.5,153.66,153.5,153.5,3,3,153.547
20210426  11:45:00,153.87,154.0,153.87,154.0,9,4,153.942
20210426  12:00:00,153.75,153.75,153.5,153.5,5,2,153.64
20210426  12:15:00,153.5,153.5,153.5,153.5,0,0,153.5
20210426  12:30:00,153.5,153.5,153.5,153.5,0,0,153.5
20210426  12:45:00,152.8,152.8,152.8,152.8,3,1,152.8
20210426  13:00:00,152.98,152.98,152.0,152.0,3,3,152.33
20210426  13:15:00,152.66,152.66,152.66,152.66,1,1,152.66
20210426  13:30:00,152.66,152.66,152.66,152.66,0,0,152.66
20210426  13:45:00,152.75,152.85,152.5,152.5,10,9,152.721
20210426  14:00:00,152.5,153.0,152.01,152.02,35,11,152.383
20210426  14:15:00,152.02,152.11,151.5,151.5,19,10,151.9
20210426  14:30:00,152.2,152.5,151.51,151.51,18,9,152.191
20210426  14:45:00,151.71,151.75,150.01,150.1,69,26,151.188
20210426  15:00:00,150.12,151.44,150.1,151.2,58,28,150.952
20210426  15:15:00,151.29,151.5,150.63,150.95,85,38,151.294
20210426  15:30:00,150.98,152.1,148.76,150.51,1946,835,150.449
20210426  15:45:00,150.51,153.73,150.49,151.98,1626,800,152.429
20210426  16:00:00,152.0,159.94,151.5,158.5,4135,2112,156.45
20210426  16:15:00,158.4,158.82,155.05,156.15,3607,1997,156.373
20210426  16:30:00,156.18,156.8,153.77,154.17,1461,808,155.523
20210426  16:45:00,153.84,155.25,153.58,155.18,745,415,154.474
20210426  17:00:00,155.14,155.85,154.03,155.37,617,341,155.085
20210426  17:15:00,155.44,157.3,154.75,155.89,973,502,156.132
20210426  17:30:00,155.89,156.8,155.77,156.16,499,281,156.216
20210426  17:45:00,156.09,157.79,155.55,157.61,600,302,156.874
20210426  18:00:00,157.62,158.6,157.11,158.47,956,482,157.883
20210426  18:15:00,158.34,158.87,157.62,158.66,1038,464,158.316
20210426  18:30:00,158.62,163.49,158.5,162.72,4976,2288,161.446
20210426  18:45:00,162.6,166.38,162.0,165.0,5000,2493,164.701
20210426  19:00:00,164.89,168.5,164.33,168.25,3851,1999,166.969
20210426  19:15:00,168.13,168.5,165.3,165.93,2718,1450,166.962
20210426  19:30:00,165.8,166.5,162.7,163.69,2995,1665,164.553
20210426  19:45:00,163.84,164.5,161.88,162.78,2017,1017,163.42
20210426  20:00:00,162.48,164.6,162.43,164.22,1353,676,163.923
20210426  20:15:00,164.15,165.78,163.92,165.31,1087,557,164.779
20210426  20:30:00,165.46,168.5,165.42,166.75,3085,1525,167.408
20210426  20:45:00,166.89,168.7,166.4,168.01,1758,911,167.379
20210426  21:00:00,168.24,174.68,168.0,171.94,5908,2793,171.347
20210426  21:15:00,171.97,172.36,170.3,170.66,2455,1299,171.291
20210426  21:30:00,170.84,171.0,168.66,170.59,2477,1343,169.988
20210426  21:45:00,170.79,171.4,168.42,168.8,2521,1560,169.577
20210426  22:00:00,168.93,169.75,167.25,169.5,472,73,168.766
20210426  22:15:00,169.5,170.6,169.0,170.0,601,131,169.949
20210426  22:30:00,169.96,186.0,169.64,181.0,1268,638,178.587
20210426  22:45:00,180.23,186.99,178.5,185.0,1252,574,182.697
20210426  23:00:00,184.25,191.89,183.0,191.0,1629,753,187.71
20210426  23:15:00,191.22,198.0,187.59,188.78,2607,1292,193.228
20210426  23:30:00,188.78,189.0,184.15,185.99,1088,515,186.658
20210426  23:45:00,185.4,187.47,182.12,186.75,777,386,184.762
