date,open,high,low,close,volume,barCount,average
20201224  10:45:00,21.18,21.18,21.18,21.18,1,1,21.18
20201224  11:00:00,21.18,21.18,21.18,21.18,0,0,21.18
20201224  11:15:00,21.18,21.18,21.18,21.18,0,0,21.18
20201224  11:30:00,21.18,21.18,21.18,21.18,0,0,21.18
20201224  11:45:00,20.8,20.8,20.8,20.8,1,1,20.8
20201224  12:00:00,20.56,20.56,20.55,20.55,4,2,20.554
20201224  12:15:00,20.55,20.55,20.55,20.55,0,0,20.55
20201224  12:30:00,20.55,20.55,20.55,20.55,0,0,20.55
20201224  12:45:00,20.55,20.55,20.55,20.55,0,0,20.55
20201224  13:00:00,20.99,21.19,20.63,20.99,56,28,21.04
20201224  13:15:00,21.0,21.0,20.9,20.95,57,9,20.91
20201224  13:30:00,20.95,21.0,20.9,21.0,69,24,20.966
20201224  13:45:00,21.09,21.14,21.09,21.1,22,9,21.13
20201224  14:00:00,21.17,21.17,20.75,21.05,109,33,21.047
20201224  14:15:00,21.06,21.17,21.0,21.13,19,10,21.115
20201224  14:30:00,21.14,21.16,21.1,21.15,56,21,21.126
20201224  14:45:00,21.13,21.16,21.07,21.13,43,17,21.13
20201224  15:00:00,21.14,21.41,21.0,21.33,254,82,21.291
20201224  15:15:00,21.34,21.35,21.03,21.09,281,84,21.229
20201224  15:30:00,21.04,21.48,20.56,20.92,10458,3108,20.935
20201224  15:45:00,20.92,21.3,20.8,21.13,5521,1873,21.076
20201224  16:00:00,21.13,21.15,20.68,20.98,3528,1122,20.889
20201224  16:15:00,20.99,21.12,20.75,20.76,3161,1056,20.95
20201224  16:30:00,20.76,20.83,20.57,20.62,2773,1094,20.677
20201224  16:45:00,20.62,20.74,20.57,20.68,2438,1125,20.654
20201224  17:00:00,20.67,20.75,20.33,20.36,3142,974,20.555
20201224  17:15:00,20.36,20.43,20.16,20.3,3379,1278,20.306
20201224  17:30:00,20.28,20.38,20.25,20.35,1969,812,20.316
20201224  17:45:00,20.36,20.63,20.35,20.6,2151,696,20.468
20201224  18:00:00,20.6,20.6,20.17,20.19,2450,935,20.325
20201224  18:15:00,20.17,20.18,19.95,20.02,3981,1362,20.03
20201224  18:30:00,20.02,20.2,20.02,20.07,2726,907,20.096
20201224  18:45:00,20.07,20.23,20.0,20.2,5619,2020,20.112
20201224  19:00:00,20.15,21.15,20.06,20.24,901,51,20.202
20201224  19:15:00,20.1,20.35,20.1,20.16,129,12,20.162
20201224  19:30:00,20.22,20.36,20.12,20.15,18,9,20.233
20201224  19:45:00,20.34,20.4,20.34,20.39,27,10,20.375
20201224  20:00:00,20.31,20.38,20.14,20.14,81,12,20.302
20201224  20:15:00,20.35,20.42,20.18,20.42,68,14,20.336
20201224  20:30:00,20.42,20.5,20.36,20.37,17,7,20.42
20201224  20:45:00,20.36,20.45,20.34,20.34,15,9,20.383
20201224  21:00:00,20.18,20.19,20.18,20.18,1,1,20.18
20201224  21:15:00,20.18,20.18,20.18,20.18,0,0,20.18
20201224  21:30:00,20.33,20.34,20.28,20.28,12,3,20.327
20201224  21:45:00,20.3,20.35,20.26,20.3,15,4,20.315
20201224  22:00:00,20.3,20.3,20.3,20.3,0,0,20.3
20201224  22:15:00,20.3,20.3,20.3,20.3,0,0,20.3
20201224  22:30:00,20.26,20.26,20.26,20.26,2,1,20.26
20201224  22:45:00,20.26,20.26,20.26,20.26,0,0,20.26
