date,open,high,low,close,volume,barCount,average
20201218  11:30:00,14.83,14.83,14.83,14.83,1,1,14.83
20201218  11:45:00,14.83,14.83,14.83,14.83,0,0,14.83
20201218  12:00:00,14.83,14.83,14.83,14.83,0,0,14.83
20201218  12:15:00,14.84,14.84,14.83,14.83,67,2,14.83
20201218  12:30:00,14.83,14.83,14.83,14.83,0,0,14.83
20201218  12:45:00,14.83,14.83,14.83,14.83,0,0,14.83
20201218  13:00:00,14.89,14.9,14.87,14.9,21,4,14.896
20201218  13:15:00,14.94,14.94,14.84,14.84,15,4,14.868
20201218  13:30:00,14.84,14.84,14.84,14.84,0,0,14.84
20201218  13:45:00,14.93,14.94,14.83,14.89,22,7,14.856
20201218  14:00:00,14.87,14.9,14.83,14.9,75,14,14.884
20201218  14:15:00,14.89,14.89,14.88,14.89,6,2,14.89
20201218  14:30:00,14.86,14.86,14.85,14.85,3,3,14.854
20201218  14:45:00,14.86,14.92,14.86,14.92,107,21,14.906
20201218  15:00:00,14.93,15.6,14.93,15.5,1119,268,15.274
20201218  15:15:00,15.47,15.8,15.36,15.8,1642,483,15.582
20201218  15:30:00,15.78,15.95,15.43,15.73,18379,4587,15.738
20201218  15:45:00,15.75,15.75,15.18,15.31,5847,2116,15.368
20201218  16:00:00,15.31,15.95,15.3,15.71,8220,2817,15.699
20201218  16:15:00,15.71,15.75,15.38,15.43,3370,1299,15.537
20201218  16:30:00,15.43,15.57,15.41,15.57,2425,960,15.503
20201218  16:45:00,15.56,15.98,15.53,15.92,6909,2526,15.777
20201218  17:00:00,15.93,16.18,15.78,15.88,9768,2959,16.016
20201218  17:15:00,15.87,16.16,15.71,15.87,6013,1697,15.912
20201218  17:30:00,15.88,16.11,15.83,15.9,4476,1437,15.966
20201218  17:45:00,15.89,15.97,15.74,15.76,2236,771,15.851
20201218  18:00:00,15.77,15.96,15.76,15.88,1888,736,15.881
20201218  18:15:00,15.87,15.9,15.81,15.83,1195,524,15.87
20201218  18:30:00,15.84,15.92,15.76,15.79,2142,769,15.858
20201218  18:45:00,15.8,15.96,15.71,15.92,1920,803,15.825
20201218  19:00:00,15.91,15.96,15.91,15.92,1675,696,15.941
20201218  19:15:00,15.92,15.95,15.79,15.92,2557,1167,15.904
20201218  19:30:00,15.9,15.99,15.88,15.91,2337,754,15.926
20201218  19:45:00,15.92,16.09,15.89,16.07,3248,1236,15.991
20201218  20:00:00,16.05,16.12,15.93,16.12,3705,1333,16.027
20201218  20:15:00,16.12,16.14,16.0,16.07,2362,855,16.067
20201218  20:30:00,16.07,16.3,16.05,16.27,4434,1374,16.201
20201218  20:45:00,16.26,16.29,15.73,15.79,6432,2175,15.985
20201218  21:00:00,15.8,15.88,15.49,15.64,4798,1331,15.699
20201218  21:15:00,15.63,15.68,15.54,15.6,3861,1383,15.594
20201218  21:30:00,15.6,15.77,15.54,15.66,3790,1596,15.654
20201218  21:45:00,15.66,15.73,15.56,15.63,10314,4616,15.635
20201218  22:00:00,15.63,15.85,15.63,15.85,21648,28,15.63
20201218  22:15:00,15.83,15.83,15.63,15.75,2567,13,15.632
20201218  22:30:00,15.75,15.75,15.75,15.75,13,4,15.75
20201218  22:45:00,15.72,15.75,15.72,15.75,17,5,15.748
20201218  23:00:00,15.7,15.74,15.52,15.7,30,12,15.592
20201218  23:15:00,15.66,15.75,15.65,15.66,48,10,15.706
20201218  23:30:00,15.75,15.75,15.74,15.74,5,3,15.748
20201218  23:45:00,15.83,15.83,15.83,15.83,8,3,15.83
