date,open,high,low,close,volume,barCount,average
20210607  10:00:00,246.2,252.0,246.2,251.55,12,4,247.931
20210607  10:15:00,252.0,253.33,252.0,253.25,15,10,252.481
20210607  10:30:00,253.27,253.9,253.27,253.9,6,4,253.595
20210607  10:45:00,253.35,253.35,253.35,253.35,1,1,253.35
20210607  11:00:00,251.55,251.55,251.55,251.55,1,1,251.55
20210607  11:15:00,251.55,251.55,251.55,251.55,0,0,251.55
20210607  11:30:00,251.55,251.55,251.55,251.55,0,0,251.55
20210607  11:45:00,251.56,251.56,251.56,251.56,6,5,251.56
20210607  12:00:00,251.56,251.56,251.56,251.56,1,1,251.56
20210607  12:15:00,251.56,251.56,251.56,251.56,0,0,251.56
20210607  12:30:00,252.25,252.25,252.25,252.25,1,1,252.25
20210607  12:45:00,251.0,251.0,251.0,251.0,6,1,251.0
20210607  13:00:00,251.0,251.0,248.0,248.0,37,22,249.443
20210607  13:15:00,248.5,250.0,248.5,250.0,22,9,249.596
20210607  13:30:00,249.55,251.0,249.55,251.0,16,12,250.341
20210607  13:45:00,251.5,251.98,251.0,251.0,7,4,251.737
20210607  14:00:00,250.98,251.98,249.5,251.37,42,26,251.073
20210607  14:15:00,251.01,251.86,251.0,251.0,9,6,251.336
20210607  14:30:00,251.75,252.77,251.75,252.0,30,21,252.159
20210607  14:45:00,252.3,253.58,252.0,253.0,34,18,252.944
20210607  15:00:00,253.01,256.49,253.01,254.25,163,65,254.937
20210607  15:15:00,254.11,258.62,253.98,258.62,86,57,255.357
20210607  15:30:00,258.0,261.75,255.2,259.64,3401,1715,258.734
20210607  15:45:00,259.48,267.6,258.8,265.49,3521,1617,263.462
20210607  16:00:00,265.07,265.21,260.25,262.55,1231,749,262.799
20210607  16:15:00,262.69,262.78,258.09,261.5,1211,686,260.301
20210607  16:30:00,261.88,265.11,259.53,264.5,1100,609,263.292
20210607  16:45:00,264.37,264.53,261.4,264.01,1011,437,263.12
20210607  17:00:00,263.75,265.7,260.67,264.93,802,460,263.336
20210607  17:15:00,264.5,270.78,263.8,268.8,1742,849,268.194
20210607  17:30:00,269.55,273.5,269.06,271.76,1795,1048,271.631
20210607  17:45:00,272.05,275.38,270.03,271.19,1489,824,273.094
20210607  18:00:00,271.23,273.13,270.09,270.93,678,414,271.468
20210607  18:15:00,270.78,273.55,270.21,271.7,586,372,271.921
20210607  18:30:00,271.6,272.72,270.0,272.38,783,465,271.095
20210607  18:45:00,272.47,282.0,272.45,281.13,2730,1495,277.96
20210607  19:00:00,281.26,281.26,277.2,279.89,1004,597,279.008
20210607  19:15:00,279.84,281.31,276.01,277.87,1537,788,278.683
20210607  19:30:00,277.75,278.5,276.2,277.42,768,430,277.781
20210607  19:45:00,277.37,279.0,271.21,271.8,1847,945,275.301
20210607  20:00:00,271.72,274.38,271.31,274.19,727,419,273.139
20210607  20:15:00,274.38,274.38,270.2,273.77,771,457,272.112
20210607  20:30:00,273.75,274.53,272.1,274.44,314,172,273.478
20210607  20:45:00,274.49,274.76,270.55,271.18,1075,519,272.761
20210607  21:00:00,271.5,272.91,270.5,270.66,455,235,271.548
20210607  21:15:00,270.39,274.88,270.0,273.81,533,341,272.859
20210607  21:30:00,273.65,276.79,273.0,276.39,951,510,275.115
20210607  21:45:00,276.4,280.0,276.0,279.99,2562,1427,278.724
20210607  22:00:00,280.01,280.1,278.55,279.2,489,26,279.941
20210607  22:15:00,278.11,281.22,278.11,281.22,20,15,279.587
20210607  22:30:00,281.4,283.69,280.11,283.0,68,43,282.062
20210607  22:45:00,282.02,285.15,282.02,283.25,184,57,284.406
20210607  23:00:00,284.37,285.8,283.51,285.3,84,42,284.673
20210607  23:15:00,285.5,286.51,285.5,286.51,90,41,285.818
20210607  23:30:00,286.8,288.3,285.91,287.5,137,57,287.318
20210607  23:45:00,286.88,286.88,284.02,285.0,63,26,284.923
