date,open,high,low,close,volume,barCount,average
20210212  10:00:00,50.6,50.6,50.0,50.0,6,3,50.205
20210212  10:15:00,49.21,49.21,49.21,49.21,3,1,49.21
20210212  10:30:00,50.46,51.0,50.46,51.0,8,4,50.585
20210212  10:45:00,51.0,51.0,51.0,51.0,0,0,51.0
20210212  11:00:00,51.0,51.0,51.0,51.0,0,0,51.0
20210212  11:15:00,50.29,50.3,50.29,50.3,4,2,50.295
20210212  11:30:00,50.09,50.09,50.09,50.09,1,1,50.09
20210212  11:45:00,50.09,50.09,50.09,50.09,0,0,50.09
20210212  12:00:00,50.09,50.09,50.09,50.09,0,0,50.09
20210212  12:15:00,50.15,50.15,50.15,50.15,2,2,50.15
20210212  12:30:00,50.15,50.15,50.15,50.15,0,0,50.15
20210212  12:45:00,50.13,50.13,50.12,50.12,2,2,50.125
20210212  13:00:00,50.57,51.55,50.42,51.4,98,62,50.99
20210212  13:15:00,51.34,51.34,50.51,51.05,19,15,50.963
20210212  13:30:00,50.91,50.99,50.89,50.99,15,12,50.937
20210212  13:45:00,50.96,51.27,50.96,51.27,12,8,51.043
20210212  14:00:00,50.7,51.55,50.32,51.21,235,80,51.102
20210212  14:15:00,51.13,51.13,50.91,50.91,73,22,51.013
20210212  14:30:00,51.06,51.15,50.97,51.02,79,37,51.036
20210212  14:45:00,51.02,51.18,50.52,50.9,167,79,50.928
20210212  15:00:00,50.56,50.89,50.3,50.75,394,111,50.553
20210212  15:15:00,50.85,50.87,50.58,50.7,220,75,50.727
20210212  15:30:00,50.75,54.0,48.05,49.44,10397,3832,50.676
20210212  15:45:00,49.34,50.93,49.2,50.73,3022,1112,50.221
20210212  16:00:00,50.67,50.81,49.42,49.77,2533,959,50.119
20210212  16:15:00,49.75,50.15,49.34,49.6,1964,684,49.67
20210212  16:30:00,49.58,50.11,49.3,49.99,1456,570,49.641
20210212  16:45:00,49.94,54.14,49.55,53.68,7369,2580,52.315
20210212  17:00:00,53.56,53.56,51.1,51.35,8530,3188,52.187
20210212  17:15:00,51.39,53.0,51.3,52.2,6044,1930,52.355
20210212  17:30:00,52.2,53.68,51.38,52.55,6802,2329,52.657
20210212  17:45:00,52.63,53.8,52.06,52.22,5519,2123,53.007
20210212  18:00:00,52.1,53.35,51.9,53.23,2725,970,52.632
20210212  18:15:00,53.3,53.95,52.5,53.37,5167,1987,53.461
20210212  18:30:00,53.26,55.07,53.19,54.82,9014,2940,54.368
20210212  18:45:00,54.78,55.24,51.7,52.3,9259,3336,53.13
20210212  19:00:00,52.23,53.26,51.03,51.6,4439,1804,51.995
20210212  19:15:00,51.6,52.15,50.6,51.03,3023,1196,51.29
20210212  19:30:00,51.1,51.71,50.79,51.11,1752,697,51.25
20210212  19:45:00,51.0,51.45,50.95,51.36,1176,445,51.192
20210212  20:00:00,51.35,51.63,49.82,50.45,3893,1329,50.639
20210212  20:15:00,50.47,50.69,50.17,50.53,1088,408,50.414
20210212  20:30:00,50.58,51.12,50.3,51.02,1383,529,50.661
20210212  20:45:00,50.98,51.6,50.79,51.33,1668,664,51.204
20210212  21:00:00,51.34,52.05,51.25,51.83,1944,711,51.731
20210212  21:15:00,51.85,52.1,51.17,51.31,2613,1001,51.604
20210212  21:30:00,51.3,51.64,51.23,51.57,1505,692,51.447
20210212  21:45:00,51.57,52.45,51.5,52.33,6387,2336,52.16
20210212  22:00:00,52.4,52.4,51.25,51.59,775,84,52.267
20210212  22:15:00,51.58,51.97,51.58,51.7,62,32,51.831
20210212  22:30:00,51.7,51.91,51.7,51.75,104,31,51.838
20210212  22:45:00,51.75,51.93,51.7,51.9,141,38,51.76
20210212  23:00:00,51.94,52.0,51.81,52.0,38,16,51.946
20210212  23:15:00,51.99,52.1,51.83,51.85,123,37,51.929
20210212  23:30:00,51.9,52.2,51.9,52.2,36,17,52.129
20210212  23:45:00,52.1,52.2,51.75,51.75,92,19,52.004
