date,open,high,low,close,volume,barCount,average
20201229  10:45:00,21.0,21.0,21.0,21.0,3,1,21.0
20201229  11:00:00,21.05,21.05,21.05,21.05,3,2,21.05
20201229  11:15:00,21.05,21.05,21.05,21.05,0,0,21.05
20201229  11:30:00,21.22,21.22,21.22,21.22,4,3,21.22
20201229  11:45:00,21.22,21.22,21.22,21.22,0,0,21.22
20201229  12:00:00,21.22,21.22,21.22,21.22,0,0,21.22
20201229  12:15:00,21.22,21.22,21.22,21.22,0,0,21.22
20201229  12:30:00,21.22,21.22,21.22,21.22,0,0,21.22
20201229  12:45:00,21.22,21.22,21.22,21.22,0,0,21.22
20201229  13:00:00,21.16,21.22,21.16,21.2,15,6,21.189
20201229  13:15:00,21.2,21.2,21.2,21.2,0,0,21.2
20201229  13:30:00,21.17,21.17,21.15,21.15,8,5,21.157
20201229  13:45:00,21.11,21.15,21.09,21.09,56,17,21.102
20201229  14:00:00,21.22,21.22,21.0,21.0,97,23,21.101
20201229  14:15:00,21.08,21.11,21.08,21.11,15,8,21.101
20201229  14:30:00,21.09,21.1,21.09,21.1,4,3,21.096
20201229  14:45:00,21.07,21.08,21.03,21.03,4,4,21.055
20201229  15:00:00,21.03,21.19,21.03,21.06,34,21,21.087
20201229  15:15:00,21.1,21.14,20.9,20.9,53,24,21.017
20201229  15:30:00,20.82,21.07,20.51,20.59,4864,1500,20.716
20201229  15:45:00,20.6,20.65,19.65,19.8,7596,2637,20.112
20201229  16:00:00,19.83,19.86,18.56,18.81,13162,3845,19.111
20201229  16:15:00,18.8,19.24,18.8,18.92,4977,1710,19.046
20201229  16:30:00,18.91,19.15,18.81,19.07,4246,1596,18.982
20201229  16:45:00,19.07,19.25,18.95,19.17,2792,881,19.096
20201229  17:00:00,19.19,19.24,19.1,19.11,1824,844,19.173
20201229  17:15:00,19.11,19.42,19.09,19.32,2391,880,19.291
20201229  17:30:00,19.32,19.46,19.26,19.3,1647,752,19.375
20201229  17:45:00,19.31,19.71,19.3,19.69,1873,895,19.555
20201229  18:00:00,19.7,19.76,19.41,19.47,3078,1010,19.616
20201229  18:15:00,19.48,19.5,19.19,19.2,2186,708,19.336
20201229  18:30:00,19.2,19.33,19.14,19.24,1929,548,19.248
20201229  18:45:00,19.25,19.39,19.11,19.36,1030,480,19.227
20201229  19:00:00,19.37,19.53,19.33,19.48,1291,474,19.428
20201229  19:15:00,19.47,19.51,19.4,19.43,871,302,19.463
20201229  19:30:00,19.44,19.49,19.35,19.43,1200,403,19.402
20201229  19:45:00,19.42,19.87,19.41,19.79,1933,577,19.652
20201229  20:00:00,19.79,19.92,19.75,19.84,3636,1061,19.854
20201229  20:15:00,19.84,20.03,19.64,19.65,4108,1032,19.84
20201229  20:30:00,19.65,19.72,19.49,19.7,2149,798,19.576
20201229  20:45:00,19.69,19.74,19.62,19.67,1454,497,19.701
20201229  21:00:00,19.68,19.75,19.56,19.74,1499,598,19.657
20201229  21:15:00,19.75,19.83,19.67,19.68,1482,541,19.774
20201229  21:30:00,19.69,19.75,19.5,19.54,2281,979,19.623
20201229  21:45:00,19.54,19.55,19.3,19.37,5413,2394,19.422
20201229  22:00:00,19.38,19.5,19.3,19.37,831,10,19.381
20201229  22:15:00,19.37,19.45,19.37,19.37,52,8,19.376
20201229  22:30:00,19.37,19.37,19.31,19.33,13,6,19.34
20201229  22:45:00,19.36,19.37,19.31,19.35,53,16,19.331
20201229  23:00:00,19.36,19.37,19.35,19.37,24,5,19.369
20201229  23:15:00,19.36,19.37,19.36,19.37,19,5,19.367
20201229  23:30:00,19.36,19.37,19.36,19.37,23,4,19.368
20201229  23:45:00,19.36,19.37,19.36,19.36,16,8,19.365
