date,open,high,low,close,volume,barCount,average
20210222  10:00:00,44.0,45.0,43.02,44.1,191,70,44.334
20210222  10:15:00,44.75,49.0,44.2,47.3,453,207,47.734
20210222  10:30:00,47.4,48.5,47.1,48.35,188,94,48.055
20210222  10:45:00,48.25,48.3,46.25,46.25,96,66,47.609
20210222  11:00:00,46.55,47.14,46.07,46.32,154,38,46.523
20210222  11:15:00,46.32,46.97,46.32,46.75,51,24,46.519
20210222  11:30:00,46.8,47.89,46.7,47.82,138,42,47.42
20210222  11:45:00,47.79,47.89,47.5,47.5,53,23,47.73
20210222  12:00:00,47.4,47.4,46.5,46.5,64,26,46.936
20210222  12:15:00,46.24,46.99,46.1,46.99,48,31,46.685
20210222  12:30:00,46.8,46.8,45.22,45.5,87,49,45.766
20210222  12:45:00,45.69,45.69,44.49,44.51,117,69,44.929
20210222  13:00:00,44.55,46.23,44.15,45.4,589,289,45.165
20210222  13:15:00,45.4,45.77,44.52,44.75,199,76,45.176
20210222  13:30:00,44.98,45.7,44.88,44.9,221,109,45.252
20210222  13:45:00,44.92,45.7,44.92,45.6,152,61,45.434
20210222  14:00:00,44.9,47.0,44.12,46.04,2395,731,45.808
20210222  14:15:00,46.2,47.1,46.04,46.72,1062,334,46.566
20210222  14:30:00,46.64,46.79,45.0,45.0,639,225,45.741
20210222  14:45:00,45.09,45.51,44.68,44.9,670,285,45.062
20210222  15:00:00,44.95,46.5,44.95,45.69,1072,441,46.013
20210222  15:15:00,45.7,46.8,45.09,46.65,812,354,46.156
20210222  15:30:00,46.69,47.88,44.06,45.86,21910,7370,45.69
20210222  15:45:00,45.84,48.51,45.83,46.1,18069,6327,47.414
20210222  16:00:00,46.1,46.47,43.33,44.71,14395,5631,44.537
20210222  16:15:00,44.67,45.15,43.71,44.19,8288,2643,44.404
20210222  16:30:00,44.16,44.59,43.29,44.48,6653,2548,43.729
20210222  16:45:00,44.47,44.51,42.4,42.67,4525,1556,43.274
20210222  17:00:00,42.58,43.28,42.55,43.12,2890,1152,42.979
20210222  17:15:00,43.18,44.05,43.03,43.4,3542,1253,43.67
20210222  17:30:00,43.43,46.2,43.36,46.17,7547,2550,45.033
20210222  17:45:00,46.19,46.2,44.37,44.6,6402,2501,45.253
20210222  18:00:00,44.62,44.77,43.81,44.06,2789,1135,44.207
20210222  18:15:00,44.03,44.48,43.86,44.18,1393,525,44.179
20210222  18:30:00,44.18,44.41,43.62,43.86,1526,645,44.063
20210222  18:45:00,43.83,44.41,43.71,43.99,1388,593,44.044
20210222  19:00:00,44.0,44.12,43.69,44.09,974,409,43.9
20210222  19:15:00,44.09,44.17,43.55,43.71,1390,579,43.804
20210222  19:30:00,43.76,44.37,43.64,44.08,1137,451,44.1
20210222  19:45:00,44.0,45.15,43.97,44.79,2238,791,44.703
20210222  20:00:00,44.8,45.35,44.63,44.85,2277,849,45.035
20210222  20:15:00,44.86,45.71,44.75,45.57,1928,746,45.28
20210222  20:30:00,45.54,45.69,44.55,45.07,2197,886,45.177
20210222  20:45:00,45.09,46.85,44.7,46.54,6983,2636,46.037
20210222  21:00:00,46.55,46.79,45.75,46.08,5572,1945,46.317
20210222  21:15:00,45.98,46.6,44.34,45.03,4856,1644,45.806
20210222  21:30:00,45.01,45.4,43.73,44.99,5299,2411,44.671
20210222  21:45:00,45.05,46.0,45.03,45.79,5829,2460,45.606
20210222  22:00:00,46.0,48.0,45.51,47.5,2081,378,46.506
20210222  22:15:00,47.5,47.9,46.15,47.62,715,247,47.283
20210222  22:30:00,47.81,48.5,47.2,47.2,1601,489,48.079
20210222  22:45:00,47.31,47.5,46.65,47.5,458,152,47.071
20210222  23:00:00,47.47,48.16,46.91,47.25,261,141,47.763
20210222  23:15:00,47.48,47.6,47.06,47.2,63,36,47.385
20210222  23:30:00,47.39,47.5,46.75,46.79,177,47,47.127
20210222  23:45:00,47.28,47.28,46.51,46.51,206,47,46.901
