date,open,high,low,close,volume,barCount,average
20210226  10:00:00,115.0,122.63,112.5,118.0,1142,446,118.343
20210226  10:15:00,118.25,121.1,118.0,119.0,285,131,120.104
20210226  10:30:00,118.8,120.19,113.7,116.12,260,130,117.367
20210226  10:45:00,117.0,117.0,113.75,114.77,134,73,115.048
20210226  11:00:00,115.0,116.0,113.0,114.0,148,74,114.387
20210226  11:15:00,114.75,119.48,114.5,116.8,142,75,116.862
20210226  11:30:00,116.99,117.26,115.62,116.5,59,31,116.802
20210226  11:45:00,116.7,119.3,116.7,119.3,30,18,117.979
20210226  12:00:00,119.4,119.9,118.01,118.72,92,51,119.002
20210226  12:15:00,118.81,119.0,117.5,117.8,392,58,118.221
20210226  12:30:00,118.0,118.74,117.0,118.55,154,39,117.693
20210226  12:45:00,118.2,121.55,117.29,120.05,241,95,119.856
20210226  13:00:00,119.98,128.89,118.0,126.0,2443,1170,124.83
20210226  13:15:00,125.77,128.0,124.88,126.0,1165,590,126.212
20210226  13:30:00,126.0,130.0,125.7,126.25,2581,1085,128.52
20210226  13:45:00,126.23,127.25,120.66,122.69,1479,871,123.8
20210226  14:00:00,120.25,129.98,116.1,116.56,3928,1739,122.065
20210226  14:15:00,116.41,122.0,115.6,121.77,1748,981,119.167
20210226  14:30:00,121.65,123.92,120.55,121.0,1487,787,122.006
20210226  14:45:00,121.0,122.17,118.3,120.3,902,558,120.123
20210226  15:00:00,120.41,124.9,119.2,119.2,2780,1437,122.676
20210226  15:15:00,119.07,121.21,116.0,117.0,2499,1292,118.118
20210226  15:30:00,117.46,142.9,114.5,142.89,54238,23938,129.329
20210226  15:45:00,142.89,142.89,125.14,127.0,33520,14726,132.434
20210226  16:00:00,126.63,128.0,116.44,119.09,25444,11731,122.547
20210226  16:15:00,119.06,128.0,112.25,120.02,26705,12323,121.321
20210226  16:30:00,120.17,122.5,117.33,120.79,12445,5860,120.09
20210226  16:45:00,120.77,126.0,119.94,125.57,13920,5920,122.756
20210226  17:00:00,125.01,126.0,119.0,121.91,11315,4617,122.097
20210226  17:15:00,121.85,121.99,112.15,113.62,17053,7714,116.612
20210226  17:30:00,113.97,116.99,105.0,108.31,20292,9164,111.147
20210226  17:45:00,108.32,108.87,97.68,106.82,29937,14055,103.592
20210226  18:00:00,106.79,108.51,100.66,100.9,14282,6487,105.17
20210226  18:15:00,100.76,101.47,92.0,93.07,27195,12034,97.241
20210226  18:30:00,93.55,95.39,86.8,91.16,32981,13687,90.681
20210226  18:45:00,91.01,92.74,86.01,87.39,19111,7663,89.96
20210226  19:00:00,87.4,98.0,86.0,96.69,27210,11377,92.45
20210226  19:15:00,96.69,105.99,96.52,99.43,31116,13600,101.603
20210226  19:30:00,99.64,103.9,99.42,102.18,14818,6545,101.856
20210226  19:45:00,102.02,103.5,97.55,102.4,15660,6779,100.632
20210226  20:00:00,102.4,103.12,99.95,103.0,11517,4807,101.33
20210226  20:15:00,103.0,103.0,97.0,101.71,13540,5928,100.505
20210226  20:30:00,101.79,114.66,100.3,114.21,29808,13051,109.859
20210226  20:45:00,113.92,125.0,112.0,116.94,46963,19514,118.098
20210226  21:00:00,117.13,121.43,107.0,108.0,33625,13915,113.353
20210226  21:15:00,107.99,114.95,107.31,109.33,17526,7759,110.991
20210226  21:30:00,109.04,111.18,101.1,103.34,21305,9345,105.102
20210226  21:45:00,103.21,104.7,100.0,101.6,17008,7586,102.151
20210226  22:00:00,101.85,111.87,101.2,105.2,6020,1749,104.282
20210226  22:15:00,105.0,106.39,101.12,101.33,1123,552,103.429
20210226  22:30:00,101.2,101.98,98.0,101.44,2061,901,99.585
20210226  22:45:00,101.44,101.5,99.5,100.69,702,302,100.484
20210226  23:00:00,100.31,100.5,99.6,100.2,596,247,100.024
20210226  23:15:00,100.01,100.95,99.0,99.91,324,161,99.978
20210226  23:30:00,99.91,99.97,96.5,96.86,773,314,97.953
20210226  23:45:00,96.83,98.78,96.5,98.02,683,289,97.564
20210227  00:00:00,98.06,100.0,98.0,98.31,414,168,98.948
20210227  00:15:00,97.85,98.38,97.1,97.53,243,121,97.459
20210227  00:30:00,97.9,98.38,97.5,97.95,123,63,97.837
20210227  00:45:00,98.0,98.85,97.73,98.6,189,98,98.312
20210227  01:00:00,98.7,98.81,98.09,98.37,136,61,98.497
20210227  01:15:00,98.39,98.45,97.3,97.7,270,96,97.839
20210227  01:30:00,97.63,97.88,97.2,97.88,192,88,97.414
20210227  01:45:00,97.55,99.72,97.3,99.5,632,228,98.133
