date,open,high,low,close,volume,barCount,average
20210204  10:00:00,92.3,100.01,92.3,96.0,180,91,96.858
20210204  10:15:00,95.5,95.51,93.1,93.4,24,13,94.486
20210204  10:30:00,93.75,96.0,93.75,94.5,50,25,95.159
20210204  10:45:00,94.0,94.09,93.5,93.57,14,10,93.803
20210204  11:00:00,93.6,96.0,93.6,95.5,28,16,95.367
20210204  11:15:00,95.09,96.5,95.0,96.5,19,10,95.996
20210204  11:30:00,96.25,97.0,95.5,96.39,18,15,96.48
20210204  11:45:00,96.39,96.75,96.39,96.75,5,5,96.55
20210204  12:00:00,96.93,97.0,96.0,96.5,12,8,96.433
20210204  12:15:00,96.5,96.5,95.0,95.2,11,8,95.524
20210204  12:30:00,96.0,96.24,96.0,96.01,6,4,96.096
20210204  12:45:00,96.21,96.21,95.13,95.13,8,5,95.777
20210204  13:00:00,95.53,95.53,92.0,93.8,541,258,93.771
20210204  13:15:00,93.78,93.97,92.68,92.97,245,130,93.078
20210204  13:30:00,92.99,94.33,92.99,94.0,175,83,93.829
20210204  13:45:00,94.19,94.5,93.7,94.5,179,53,94.056
20210204  14:00:00,95.0,95.0,92.0,94.0,693,197,93.647
20210204  14:15:00,94.0,94.37,93.5,93.9,694,77,93.983
20210204  14:30:00,93.9,94.2,93.8,94.08,124,58,94.01
20210204  14:45:00,93.78,95.6,93.7,94.93,512,202,94.785
20210204  15:00:00,95.0,95.6,93.0,93.0,723,225,93.63
20210204  15:15:00,92.8,93.14,90.8,91.01,632,282,91.832
20210204  15:30:00,91.19,91.5,81.05,86.29,24055,11006,85.166
20210204  15:45:00,86.1,86.49,82.0,83.39,11127,5918,83.099
20210204  16:00:00,83.28,86.0,82.85,83.24,8151,3850,84.298
20210204  16:15:00,83.45,83.89,73.88,74.81,25407,11611,78.355
20210204  16:30:00,74.66,79.71,74.65,75.27,15093,6777,77.382
20210204  16:45:00,75.17,75.76,70.5,71.4,23076,9963,72.475
20210204  17:00:00,71.29,73.64,67.0,67.04,24498,10399,70.178
20210204  17:15:00,67.36,69.44,63.2,63.51,35371,14675,66.249
20210204  17:30:00,63.5,68.74,62.05,67.02,32757,13605,65.269
20210204  17:45:00,67.02,69.75,63.14,68.58,22187,8549,65.95
20210204  18:00:00,68.77,68.78,65.03,67.75,11900,4700,66.792
20210204  18:15:00,67.66,71.3,67.4,68.57,18448,7020,69.297
20210204  18:30:00,68.76,69.25,64.0,64.8,9383,3986,65.983
20210204  18:45:00,64.71,65.98,63.5,64.31,7914,3504,64.755
20210204  19:00:00,64.5,64.5,59.3,59.71,21094,8797,61.684
20210204  19:15:00,59.71,60.44,57.2,59.43,27690,10623,58.78
20210204  19:30:00,59.64,61.25,58.5,59.29,13681,5733,60.105
20210204  19:45:00,59.27,61.55,58.96,60.0,11059,4483,60.404
20210204  20:00:00,60.17,60.5,58.0,58.1,9545,4054,59.287
20210204  20:15:00,58.15,59.8,58.0,59.38,7568,3175,59.099
20210204  20:30:00,59.3,61.98,59.3,60.36,13783,5456,60.663
20210204  20:45:00,60.21,60.5,58.23,58.23,6279,2749,59.294
20210204  21:00:00,58.23,58.5,55.79,56.6,14618,5830,56.971
20210204  21:15:00,56.42,57.65,55.35,57.3,12230,5177,56.521
20210204  21:30:00,57.53,57.95,53.82,55.3,13966,5770,55.657
20210204  21:45:00,55.31,55.9,53.33,53.38,19427,7887,54.31
20210204  22:00:00,53.33,54.39,51.45,52.47,3925,1204,52.811
20210204  22:15:00,52.4,54.03,51.65,52.11,2175,804,52.804
20210204  22:30:00,52.21,53.24,52.0,52.5,783,325,52.513
20210204  22:45:00,52.5,53.65,51.55,53.15,1671,542,52.516
20210204  23:00:00,53.17,53.17,50.5,50.69,1808,539,51.336
20210204  23:15:00,50.65,51.75,50.5,50.6,1467,505,50.773
20210204  23:30:00,50.54,52.75,50.0,51.96,1549,564,51.452
20210204  23:45:00,51.97,52.0,49.0,50.25,1514,547,50.497
