date,open,high,low,close,volume,barCount,average
20210331  10:00:00,196.66,197.45,195.0,196.32,27,20,196.084
20210331  10:15:00,196.46,198.0,196.46,197.8,20,12,197.449
20210331  10:30:00,197.65,197.65,197.0,197.0,7,5,197.294
20210331  10:45:00,196.52,196.52,196.52,196.52,1,1,196.52
20210331  11:00:00,196.52,196.52,196.52,196.52,0,0,196.52
20210331  11:15:00,196.52,196.52,196.52,196.52,0,0,196.52
20210331  11:30:00,196.52,196.52,196.52,196.52,0,0,196.52
20210331  11:45:00,196.83,196.83,196.83,196.83,1,1,196.83
20210331  12:00:00,196.83,196.83,196.83,196.83,0,0,196.83
20210331  12:15:00,196.83,196.83,196.83,196.83,0,0,196.83
20210331  12:30:00,197.8,197.8,197.4,197.4,5,4,197.481
20210331  12:45:00,197.7,198.3,197.7,198.2,24,11,197.905
20210331  13:00:00,198.32,199.0,197.7,199.0,64,36,198.266
20210331  13:15:00,198.79,198.95,198.0,198.95,10,9,198.538
20210331  13:30:00,198.5,198.5,197.7,197.7,32,14,197.878
20210331  13:45:00,197.81,198.49,197.81,198.49,8,7,198.091
20210331  14:00:00,198.0,199.2,197.7,198.65,140,57,198.457
20210331  14:15:00,198.4,199.4,197.76,198.9,126,59,198.561
20210331  14:30:00,198.5,198.8,197.7,198.0,65,29,198.414
20210331  14:45:00,198.18,198.6,198.0,198.0,45,21,198.385
20210331  15:00:00,198.0,198.8,197.99,198.2,61,47,198.256
20210331  15:15:00,198.3,198.9,197.0,197.21,331,204,197.634
20210331  15:30:00,197.5,199.46,193.13,196.28,6803,3581,196.801
20210331  15:45:00,195.6,197.43,190.81,193.8,5099,2730,193.795
20210331  16:00:00,193.8,195.0,187.25,187.89,4113,2178,191.089
20210331  16:15:00,187.56,192.27,187.11,191.49,2958,1582,190.23
20210331  16:30:00,191.23,193.8,189.58,191.9,1982,1102,191.734
20210331  16:45:00,191.95,196.52,191.9,196.09,3404,1827,195.177
20210331  17:00:00,196.0,197.29,193.53,194.18,2937,1450,195.632
20210331  17:15:00,194.38,194.89,192.6,193.17,1403,668,193.373
20210331  17:30:00,193.01,195.8,192.5,195.44,2032,968,194.84
20210331  17:45:00,195.13,197.14,194.22,195.31,2158,1069,195.797
20210331  18:00:00,195.59,195.6,192.22,193.25,1523,729,193.342
20210331  18:15:00,193.62,193.78,191.46,191.89,1048,550,192.645
20210331  18:30:00,191.89,193.2,191.8,192.82,699,395,192.556
20210331  18:45:00,192.9,193.19,191.5,192.23,628,321,192.311
20210331  19:00:00,192.15,194.2,192.07,192.71,957,513,193.387
20210331  19:15:00,192.6,196.1,192.37,195.25,1443,657,194.552
20210331  19:30:00,195.19,197.06,194.5,195.39,2164,1020,195.905
20210331  19:45:00,195.44,195.86,194.07,194.64,830,441,195.115
20210331  20:00:00,194.57,195.44,193.1,195.16,1218,616,194.304
20210331  20:15:00,194.96,195.99,194.3,195.55,613,321,195.155
20210331  20:30:00,195.76,195.98,192.06,193.22,1747,758,193.886
20210331  20:45:00,193.21,194.02,191.55,192.36,1383,718,192.69
20210331  21:00:00,192.49,193.8,191.75,192.16,905,453,192.702
20210331  21:15:00,192.42,192.97,189.92,190.5,2148,999,191.204
20210331  21:30:00,190.64,192.46,189.65,190.9,1474,824,190.797
20210331  21:45:00,190.8,192.5,190.0,190.01,2423,1438,191.418
20210331  22:00:00,189.82,192.0,189.82,190.0,1509,73,189.926
20210331  22:15:00,190.99,190.99,189.12,189.75,102,44,190.055
20210331  22:30:00,189.75,190.5,189.5,189.89,37,20,190.01
20210331  22:45:00,190.6,190.87,190.2,190.2,7,6,190.582
20210331  23:00:00,190.25,190.7,189.9,189.9,11,7,190.155
20210331  23:15:00,190.6,190.7,190.4,190.5,7,6,190.587
20210331  23:30:00,190.6,190.6,190.01,190.33,4,4,190.322
20210331  23:45:00,190.6,190.7,190.36,190.69,12,8,190.541
