date,open,high,low,close,volume,barCount,average
20210217  10:00:00,50.0,50.1,49.15,49.19,27,14,49.6
20210217  10:15:00,49.4,49.4,49.4,49.4,3,2,49.4
20210217  10:30:00,49.21,49.21,49.21,49.21,1,1,49.21
20210217  10:45:00,49.21,49.25,49.18,49.25,6,5,49.213
20210217  11:00:00,49.51,49.51,49.51,49.51,3,2,49.51
20210217  11:15:00,49.21,49.21,49.2,49.2,2,2,49.205
20210217  11:30:00,49.5,49.5,49.5,49.5,1,1,49.5
20210217  11:45:00,49.5,49.5,49.5,49.5,0,0,49.5
20210217  12:00:00,49.13,49.13,49.13,49.13,1,1,49.13
20210217  12:15:00,49.13,49.13,49.13,49.13,1,1,49.13
20210217  12:30:00,49.13,49.13,49.13,49.13,3,3,49.13
20210217  12:45:00,49.13,49.13,49.13,49.13,0,0,49.13
20210217  13:00:00,49.5,50.07,49.33,49.7,40,32,49.751
20210217  13:15:00,49.54,49.54,49.53,49.53,24,6,49.53
20210217  13:30:00,49.58,49.58,49.2,49.29,23,12,49.415
20210217  13:45:00,49.29,49.29,49.15,49.21,5,4,49.216
20210217  14:00:00,49.97,50.1,49.1,49.12,204,69,49.451
20210217  14:15:00,49.15,49.28,49.12,49.2,15,7,49.166
20210217  14:30:00,49.29,49.5,49.27,49.5,43,30,49.399
20210217  14:45:00,49.5,49.9,49.5,49.52,110,47,49.683
20210217  15:00:00,49.53,49.68,49.51,49.51,59,27,49.55
20210217  15:15:00,49.52,49.67,49.4,49.61,111,42,49.486
20210217  15:30:00,49.77,51.19,48.6,49.05,8353,2868,49.78
20210217  15:45:00,49.0,49.2,47.45,47.79,6154,2191,48.504
20210217  16:00:00,47.8,48.44,47.74,47.78,3360,1460,48.069
20210217  16:15:00,47.82,48.09,47.49,47.61,2980,1197,47.692
20210217  16:30:00,47.61,48.15,47.6,47.79,1644,556,47.837
20210217  16:45:00,47.78,48.32,47.62,47.93,847,358,48.016
20210217  17:00:00,47.9,48.05,47.4,47.78,1431,598,47.639
20210217  17:15:00,47.69,47.83,46.3,46.9,3658,1398,46.929
20210217  17:30:00,46.9,47.12,46.39,46.44,1609,733,46.823
20210217  17:45:00,46.49,47.23,46.22,47.13,2220,881,46.717
20210217  18:00:00,47.14,47.15,46.55,47.12,956,359,46.864
20210217  18:15:00,47.03,47.13,46.28,46.66,1171,557,46.656
20210217  18:30:00,46.57,46.85,46.4,46.77,581,299,46.631
20210217  18:45:00,46.79,46.84,46.55,46.71,645,293,46.684
20210217  19:00:00,46.71,46.97,46.4,46.58,1516,476,46.63
20210217  19:15:00,46.59,46.7,46.3,46.68,1065,398,46.499
20210217  19:30:00,46.58,46.84,46.5,46.6,1320,440,46.658
20210217  19:45:00,46.56,46.7,46.02,46.08,1673,664,46.359
20210217  20:00:00,46.09,46.34,45.5,45.63,2658,989,45.938
20210217  20:15:00,45.6,45.85,44.56,44.96,6262,2050,45.056
20210217  20:30:00,44.95,45.12,44.56,44.86,2600,1002,44.849
20210217  20:45:00,44.82,45.97,44.8,45.52,4910,1926,45.494
20210217  21:00:00,45.36,45.75,45.05,45.19,2231,960,45.375
20210217  21:15:00,45.16,45.89,45.12,45.74,2299,1056,45.6
20210217  21:30:00,45.74,46.45,45.37,46.24,3215,1589,45.981
20210217  21:45:00,46.21,46.49,45.62,45.84,5175,2676,46.1
20210217  22:00:00,45.94,46.01,45.58,45.8,634,37,45.921
20210217  22:15:00,45.84,45.9,45.62,45.89,94,32,45.802
20210217  22:30:00,46.0,46.1,45.8,45.95,105,33,45.945
20210217  22:45:00,45.95,46.0,45.61,45.78,56,30,45.814
20210217  23:00:00,45.9,45.9,45.76,45.9,12,7,45.879
20210217  23:15:00,45.85,45.94,45.76,45.94,46,18,45.877
20210217  23:30:00,46.0,46.45,46.0,46.39,155,41,46.215
20210217  23:45:00,46.39,46.4,46.03,46.28,32,15,46.234
