date,open,high,low,close,volume,barCount,average
20210201  10:00:00,356.1,384.89,321.75,378.89,537,312,351.889
20210201  10:15:00,374.1,384.0,346.01,351.5,269,146,365.273
20210201  10:30:00,353.9,353.9,333.0,345.07,110,74,342.672
20210201  10:45:00,344.0,351.7,340.0,348.0,80,51,346.145
20210201  11:00:00,347.0,356.36,343.81,343.81,122,80,350.061
20210201  11:15:00,342.0,346.99,326.05,337.21,153,100,335.594
20210201  11:30:00,337.83,341.5,337.0,340.0,46,25,339.074
20210201  11:45:00,340.0,343.0,337.0,337.0,50,29,339.496
20210201  12:00:00,338.0,345.0,338.0,341.0,70,31,341.411
20210201  12:15:00,341.5,342.4,332.0,334.21,44,29,336.038
20210201  12:30:00,332.15,333.99,326.06,327.0,71,54,329.859
20210201  12:45:00,329.79,336.1,327.11,328.18,169,77,330.792
20210201  13:00:00,327.42,331.0,288.07,306.31,1691,1062,310.703
20210201  13:15:00,307.03,311.0,295.01,300.0,788,427,303.091
20210201  13:30:00,300.0,310.0,296.0,308.0,591,307,303.105
20210201  13:45:00,305.6,331.9,305.6,323.35,989,505,321.144
20210201  14:00:00,327.0,330.01,303.0,320.0,1411,657,318.821
20210201  14:15:00,319.2,323.0,317.0,319.99,438,233,320.124
20210201  14:30:00,319.0,333.0,319.0,320.0,874,475,326.393
20210201  14:45:00,320.0,324.0,317.0,317.8,363,203,320.557
20210201  15:00:00,317.7,318.5,302.2,310.0,871,519,311.182
20210201  15:15:00,310.05,318.0,308.0,314.74,569,294,312.413
20210201  15:30:00,316.56,322.0,282.0,297.0,14585,5837,306.037
20210201  15:45:00,297.91,308.0,252.0,270.0,15347,7939,276.892
20210201  16:00:00,270.0,284.0,261.0,262.53,8484,4952,271.725
20210201  16:15:00,263.18,265.11,213.07,213.07,18571,8508,244.302
20210201  16:30:00,213.07,257.94,212.0,241.0,14831,7370,235.741
20210201  16:45:00,242.0,243.84,222.0,237.39,8522,4442,231.657
20210201  17:00:00,236.78,267.33,232.9,263.17,7839,4051,248.544
20210201  17:15:00,264.09,275.0,248.0,273.85,7440,4062,261.877
20210201  17:30:00,273.54,280.0,258.0,270.0,6410,3625,271.068
20210201  17:45:00,269.01,276.5,255.0,259.2,4638,2477,265.977
20210201  18:00:00,259.0,262.6,245.0,246.5,3706,2088,253.172
20210201  18:15:00,247.53,256.0,241.21,252.0,3929,2059,248.233
20210201  18:30:00,252.0,260.63,247.0,250.18,2789,1463,253.338
20210201  18:45:00,250.5,251.95,241.0,248.0,2206,1176,246.025
20210201  19:00:00,248.46,249.95,240.0,241.0,2331,1318,244.903
20210201  19:15:00,240.94,244.1,231.0,239.49,4126,2142,238.411
20210201  19:30:00,239.69,243.0,231.3,232.91,3479,1855,236.791
20210201  19:45:00,233.16,253.89,230.0,250.0,6424,3086,240.516
20210201  20:00:00,250.0,250.0,238.0,245.0,3662,1897,244.611
20210201  20:15:00,245.01,251.0,240.0,244.59,2646,1311,246.388
20210201  20:30:00,245.0,247.68,240.0,240.9,2301,1222,244.194
20210201  20:45:00,240.88,244.0,235.51,240.18,2812,1447,240.285
20210201  21:00:00,240.11,240.11,231.0,232.94,3933,2142,233.714
20210201  21:15:00,233.44,237.5,227.5,233.97,4810,2463,232.365
20210201  21:30:00,234.0,234.89,222.0,222.7,4672,2573,228.361
20210201  21:45:00,222.48,231.0,214.66,227.0,11885,5888,221.001
20210201  22:00:00,225.0,231.0,215.0,224.0,1304,415,224.457
20210201  22:15:00,224.0,224.0,218.0,218.01,514,244,219.546
20210201  22:30:00,218.0,218.7,215.02,217.0,565,268,216.218
20210201  22:45:00,216.88,217.87,206.0,207.55,757,426,210.154
20210201  23:00:00,207.96,208.79,201.06,202.0,1350,644,203.939
20210201  23:15:00,201.51,203.47,173.0,181.88,3954,1746,187.954
20210201  23:30:00,182.05,193.25,175.01,188.3,2191,1076,184.486
20210201  23:45:00,188.3,190.89,175.0,178.0,1547,800,181.564
